"tfz";"totalmass";"num_tfz";"vmax";"brh";"breakclass";"total_res";"t10";"sta"
"145-2";2700;1;70;58;"G";0,9123;772,111907732297;"1"
"145-2";2700;1;70;42;"G";0,9286;772,111907732297;"101"
"G1206-4";1900;1;50;37;"G";0,9459;1227,12105151181;"103"
"145-2";2700;1;70;52;"G";0,9153;772,111907732297;"105"
"145-2";2700;1;80;60;"G";0,9032;757,545597576302;"107"
"285-2";2400;1;60;50;"G";0,9091;956,469649570973;"109A"
"285-2";2500;1;60;53;"G";0,9242;983,383650415768;"109B"
"180-1";1800;1;60;56;"G";0,904;855,965280693798;"111"
"152-2";2900;1;60;47;"G";0,9048;838,695083640095;"113"
"180-1";1700;1;50;60;"G";0,92;859,810407612278;"115A"
"145-2";2700;1;80;60;"G";0,9623;757,545597576302;"115B"
"285-2";2400;1;60;34;"G";0,9;956,469649570973;"117"
"145-2";2700;1;70;52;"G";0,9074;772,111907732297;"119A"
"G1206-3";1800;1;50;58;"G";0,9231;1214,0693328173;"11B"
"145-2";2700;1;70;60;"G";0,9194;772,111907732297;"121"
"145-2";2700;1;80;66;"G";0,9189;757,545597576302;"123"
"145-2";2700;1;70;60;"G";0,9153;772,111907732297;"125A"
"145-2";2700;1;80;55;"G";0,9008;757,545597576302;"125B"
"145-2";2700;1;80;63;"G";0,9008;757,545597576302;"125C"
"145-2";2700;1;80;55;"G";0,9008;757,545597576302;"127A"
"145-2";2700;1;80;60;"G";0,9178;757,545597576302;"127C"
"145-2";2700;1;80;60;"G";0,9178;757,545597576302;"127D"
"145-2";2700;1;80;64;"G";0,9172;757,545597576302;"127E"
"285-2";2400;1;60;35;"G";0,9118;956,469649570973;"129"
"145-2";2700;1;80;61;"G";0,905;757,545597576302;"129A"
"145-2";2700;1;80;65;"G";0,9036;757,545597576302;"131A"
"145-2";2700;1;80;62;"G";0,9176;757,545597576302;"131B"
"G1206-3";1800;1;50;47;"G";0,9048;1214,0693328173;"133A"
"285-2";2400;1;60;54;"G";0,9057;956,469649570973;"133B"
"203-1";1000;1;70;55;"G";1;782,31639342372;"137"
"145-2";2700;1;70;54;"G";0,9189;772,111907732297;"139A"
"G1206-3";1800;1;50;53;"G";0,9082;1214,0693328173;"139B"
"180-1";1900;1;70;50;"G";0,9245;875,795249786399;"143"
"G1206-4";1900;1;50;55;"P";0,9231;1227,12105151181;"143B"
"285-2";2500;1;60;54;"G";0,92;983,383650415768;"145B"
"264-1";3100;1;60;55;"G";0,9;918,363911070307;"147"
"145-2";2700;1;70;50;"G";0,9091;772,111907732297;"149"
"264-1";3100;1;60;44;"G";0,9412;918,363911070307;"15"
"1293-2";1700;1;50;40;"G";0,9444;1468,67315441507;"151"
"145-2";2700;1;80;64;"G";0,9034;757,545597576302;"153"
"145-2";2700;1;80;63;"G";0,9008;757,545597576302;"155B"
"145-2";2700;1;80;64;"G";0,9241;757,545597576302;"157"
"145-2";2700;1;80;62;"G";0,9059;757,545597576302;"157A"
"145-2";2700;1;80;54;"G";0,9038;757,545597576302;"157B"
"180-1";1900;1;60;54;"G";0,9306;904,055904786392;"161"
"G1206-4";1900;1;50;62;"P";0,9259;1227,12105151181;"163A"
"145-2";2700;1;80;56;"G";0,9012;757,545597576302;"163B"
"145-2";2700;1;50;50;"G";0,9149;850,093825238187;"165"
"145-2";2700;1;70;56;"G";0,9077;772,111907732297;"167"
"145-2";2700;1;70;56;"G";0,9077;772,111907732297;"167A"
"145-2";2700;1;90;65;"G";0,9066;757,545597576302;"169"
"145-2";2700;1;80;48;"G";0,9016;757,545597576302;"17"
"145-2";2700;1;80;60;"G";0,9077;757,545597576302;"171"
"145-2";2700;1;80;60;"G";0,9077;757,545597576302;"171A"
"G1206-4";1900;1;50;42;"G";0,9;1227,12105151181;"173A"
