"TOTALWEIGHT";"BREAKCLASS";"VMAX";"TFZ";"NUM_TFZ";"T10km";"X";"T10kmRound"
2500;"P";80;"145-2";1;707,123438359149;6362;708
1600;"P";90;"185CL1-1";1;542,307877597172;3196;543
1100;"P";80;"180-1";1;586,388768992919;5012;587
1200;"G";80;"1144-1";1;603,787398110887;5117;604
2000;"G";80;"145-2";1;664,981519475997;6015;665
1600;"P";90;"152-3";1;532,554544696399;3180;533
2000;"P";80;"146-3";1;612,531466161185;6018;613
1200;"P";80;"1144-1";1;579,390076682316;5118;580
2000;"G";80;"6186-1";1;630,763847061028;6065;631
1800;"G";90;"183-1";1;580,045709988238;3391;581
2000;"G";70;"151-1";1;671,011261966804;8541;672
2400;"G";80;"145-2";1;719,55876319756;6305;720
2600;"G";70;"145-2";1;764,978717363646;8935;765
