"X";"TRAINRUN";"TFZ";"NUM_TFZ";"VMAX";"TOTALLENGTH";"TOTALWEIGHT";"BREAKCLASS";"BrH";"LZB";"ELECTRIC";"TRAINCLASS";"T10km";"T10SYS";"STABFQ";"NAME"
1;32839;"6186-1";2;100;628;2284;"G";80;FALSE;1;"FGz";499,873737182722;603,787398110887;1,20787981683899;"G4"
2;32840;"6186-1";1;100;628;1674;"P";80;TRUE;1;"FGz";530,400199741154;532,554544696399;1,00406173481137;"G6"
3;41802;"185-2";1;120;609;1685;"P";78;TRUE;1;"FGz";532,239092023379;532,554544696399;1,000592689785;"G6"
4;41816;"185-2";1;100;609;1685;"P";75;FALSE;1;"FGz";532,239092023379;532,554544696399;1,000592689785;"G6"
5;41857;"189-2";1;100;569;1686;"P";87;FALSE;1;"FGz";517,63658211195;532,554544696399;1,02881937463458;"G6"
6;41859;"185-2";1;100;569;1685;"P";87;FALSE;1;"FGz";532,239092023379;532,554544696399;1,000592689785;"G6"
7;47882;"185-2";1;100;339;1265;"P";70;TRUE;1;"NGz";481,315508362101;532,554544696399;1,10645623389253;"G6"
8;41820;"1116-1";1;100;594;1236;"P";67;FALSE;1;"FGz";472,194827043323;532,554544696399;1,1278279942858;"G6"
9;41821;"1116-1";1;100;594;1686;"P";67;TRUE;1;"FGz";518,31884208224;532,554544696399;1,02746514588775;"G6"
10;41832;"151-1";1;100;519;868;"P";67;FALSE;1;"FGz";449,393604065434;532,554544696399;1,18505145573647;"G6"
11;41836;"1116-1";1;100;569;1186;"P";61;FALSE;1;"FGz";468,575889144575;532,554544696399;1,13653851389713;"G6"
12;41837;"1116-1";1;100;569;1316;"P";67;FALSE;1;"FGz";479,008236757915;532,554544696399;1,11178577700647;"G6"
13;41847;"1116-1";1;100;569;1186;"P";67;FALSE;1;"NGz";468,575889144575;532,554544696399;1,13653851389713;"G6"
14;41852;"189-2";2;100;558;1692;"P";100;FALSE;1;"FGz";445,717264127831;532,554544696399;1,19482593015213;"G6"
15;41853;"189-2";1;100;539;1611;"P";100;FALSE;1;"FGz";508,815054541693;532,554544696399;1,04665642249145;"G6"
16;41856;"189-2";2;100;588;1697;"P";100;FALSE;1;"FGz";445,85366347338;532,554544696399;1,19446039883935;"G6"
17;41858;"185-2";2;100;588;1771;"P";87;FALSE;1;"FGz";450,361250640421;532,554544696399;1,18250525314755;"G6"
18;41860;"189-2";1;100;569;1386;"P";95;FALSE;1;"FGz";484,439932431949;532,554544696399;1,09932007880298;"G6"
19;41861;"189-2";2;100;588;1772;"P";80;FALSE;1;"FGz";448,15546149753;532,554544696399;1,18832545946633;"G6"
20;41870;"189-2";2;100;588;1692;"P";75;FALSE;1;"FGz";445,717264127831;532,554544696399;1,19482593015213;"G6"
21;44801;"151-1";1;100;609;1718;"P";61;FALSE;1;"FGz";540,408761164415;532,554544696399;1;"G6"
22;44802;"151-1";1;100;609;1718;"P";61;FALSE;1;"FGz";540,408761164415;532,554544696399;1;"G6"
23;44807;"151-1";1;100;609;1718;"P";61;FALSE;1;"FGz";540,408761164415;532,554544696399;1;"G6"
24;44808;"1116-1";1;100;609;1686;"P";61;FALSE;1;"FGz";518,31884208224;532,554544696399;1,02746514588775;"G6"
25;44813;"151-1";1;100;609;1718;"P";61;FALSE;1;"FGz";540,408761164415;532,554544696399;1;"G6"
26;44816;"151-1";1;100;609;1718;"P";61;FALSE;1;"FGz";540,408761164415;532,554544696399;1;"G6"
27;44821;"151-1";1;100;609;1718;"P";61;FALSE;1;"FGz";540,408761164415;532,554544696399;1;"G6"
28;44824;"151-1";1;100;609;1718;"P";61;FALSE;1;"FGz";540,408761164415;532,554544696399;1;"G6"
29;45801;"1116-1";1;100;609;1686;"P";61;FALSE;1;"FGz";518,31884208224;532,554544696399;1,02746514588775;"G6"
30;45808;"1116-1";1;100;609;1686;"P";61;FALSE;1;"FGz";518,31884208224;532,554544696399;1,02746514588775;"G6"
31;45818;"1116-1";1;100;609;1686;"P";61;FALSE;1;"FGz";518,31884208224;532,554544696399;1,02746514588775;"G6"
32;46372;"1116-1";1;100;589;886;"P";67;FALSE;1;"Gz";448,272563644341;532,554544696399;1,18801503345837;"G6"
33;47828;"1116-1";1;100;419;1426;"P";67;FALSE;1;"FGz";488,679281583916;532,554544696399;1,08978335027889;"G6"
34;47857;"185-2";1;100;419;685;"P";77;FALSE;1;"FGz";437,807918156907;532,554544696399;1,21641140465974;"G6"
35;47858;"185-2";1;100;319;1685;"P";61;FALSE;1;"FGz";532,239092023379;532,554544696399;1,000592689785;"G6"
36;47871;"1116-1";1;100;609;986;"P";67;FALSE;1;"FGz";454,522078985075;532,554544696399;1,1716802534336;"G6"
37;60331;"151-1";1;90;389;1878;"G";61;FALSE;1;"NGz";600,436157299047;603,787398110887;1,00558134411311;"G4"
38;62852;"185-2";1;90;599;1185;"P";58;TRUE;1;"NGz";497,580300646583;532,554544696399;1,07028864286703;"G6"
