"";"G12";"s90"
"0:00";0;0
"1:00";1;0
"2:00";0;0
"3:00";0;1
"4:00";1;1
"5:00";1;2
"6:00";0;0
"7:00";0;1
"8:00";0;0
"9:00";3;0
"10:00";1;1
"11:00";3;1
"12:00";1;1
"13:00";2;1
"14:00";2;1
"15:00";3;1
"16:00";2;1
"17:00";1;1
"18:00";0;0
"19:00";0;1
"20:00";1;0
"21:00";3;0
"22:00";0;1
"23:00";2;0
"24:00";2;1
"25:00";1;0
"26:00";0;0
"27:00";2;2
"28:00";1;0
"29:00";1;0
"30:00";2;0
"31:00";2;0
"32:00";0;1
"33:00";0;0
"34:00";1;0
"35:00";0;0
"36:00";0;0
"37:00";0;0
"38:00";0;0
"39:00";0;0
"40:00";0;0
"41:00";0;0
"42:00";0;0
"43:00";0;0
"44:00";0;0
"45:00";0;0
"46:00";0;0
"47:00";0;0
"48:00";0;0
