"";"G14";"s90"
"0:00";0;0
"1:00";2;0
"2:00";2;1
"3:00";1;0
"4:00";1;0
"5:00";1;1
"6:00";0;1
"7:00";1;3
"8:00";0;1
"9:00";1;2
"10:00";4;1
"11:00";1;0
"12:00";1;0
"13:00";2;4
"14:00";1;0
"15:00";2;1
"16:00";2;0
"17:00";1;1
"18:00";4;1
"19:00";3;0
"20:00";1;1
"21:00";2;1
"22:00";1;0
"23:00";1;0
"24:00";1;1
"25:00";3;1
"26:00";0;0
"27:00";0;0
"28:00";0;0
"29:00";0;0
"30:00";0;0
"31:00";0;0
"32:00";0;0
"33:00";0;0
"34:00";0;0
"35:00";0;0
"36:00";0;0
"37:00";0;0
"38:00";0;0
"39:00";0;0
"40:00";0;0
"41:00";0;0
"42:00";0;0
"43:00";0;0
"44:00";0;0
"45:00";0;0
"46:00";0;0
"47:00";0;0
"48:00";0;0
