"";"G13";"s90"
"0:00";0;0
"1:00";0;0
"2:00";3;0
"3:00";1;0
"4:00";1;0
"5:00";0;0
"6:00";2;0
"7:00";3;1
"8:00";3;1
"9:00";1;1
"10:00";2;0
"11:00";1;0
"12:00";1;1
"13:00";1;1
"14:00";5;0
"15:00";2;0
"16:00";2;0
"17:00";2;0
"18:00";2;0
"19:00";1;0
"20:00";0;2
"21:00";0;0
"22:00";3;0
"23:00";2;1
"24:00";2;1
"25:00";3;4
"26:00";2;0
"27:00";1;1
"28:00";0;0
"29:00";0;2
"30:00";0;0
"31:00";0;0
"32:00";0;2
"33:00";0;0
"34:00";0;0
"35:00";0;0
"36:00";0;0
"37:00";0;0
"38:00";0;0
"39:00";0;0
"40:00";0;0
"41:00";0;0
"42:00";0;0
"43:00";0;0
"44:00";0;0
"45:00";0;0
"46:00";0;0
"47:00";0;0
"48:00";0;0
