"";"G12";"s90"
"0:00";2;0
"1:00";1;1
"2:00";3;0
"3:00";2;2
"4:00";6;1
"5:00";2;0
"6:00";6;3
"7:00";4;0
"8:00";4;1
"9:00";5;1
"10:00";4;2
"11:00";3;2
"12:00";3;1
"13:00";3;0
"14:00";3;1
"15:00";3;3
"16:00";5;1
"17:00";2;0
"18:00";3;2
"19:00";7;0
"20:00";6;0
"21:00";7;1
"22:00";10;1
"23:00";4;2
"24:00";3;1
"25:00";8;0
"26:00";1;1
"27:00";0;0
"28:00";0;1
"29:00";0;0
"30:00";0;1
"31:00";0;1
"32:00";1;0
"33:00";0;0
"34:00";0;0
"35:00";0;0
"36:00";0;0
"37:00";0;0
"38:00";0;0
"39:00";0;0
"40:00";0;0
"41:00";0;0
"42:00";0;0
"43:00";0;0
"44:00";0;0
"45:00";0;0
"46:00";0;0
"47:00";0;0
"48:00";0;0
