"TFZ";"NUM_TFZ";"VMAX";"TOTALWEIGHT";"BREAKCLASS";"BrH";"LZB";"ELECTRIC";"T10km";"T10kmRound"
"4370-1";1;90;1975;"P";56;FALSE;1;549,743140885997;550
"189-2";2;120;1771;"P";87;TRUE;1;446,906400614429;447
"185-2";1;100;1675;"P";69;FALSE;1;502,506316794503;503
"1144-1";1;90;1484;"P";54;FALSE;1;553,979947127541;554
"185-2";1;80;2665;"G";64;FALSE;1;640,148770642023;641
"180-1";1;100;1184;"P";66;FALSE;1;517,643876549045;518
"156-1";1;90;2370;"G";65;FALSE;1;597,493577786885;598
"180-1";1;90;1584;"P";62;FALSE;1;581,626095415237;582
"189-2";1;100;1836;"P";64;TRUE;1;508,905744122891;509
"185-2";1;90;2185;"G";64;FALSE;1;585,221746667392;586
