"X";"TRAINRUN";"TFZ";"NUM_TFZ";"VMAX";"TOTALLENGTH";"TOTALWEIGHT";"BREAKCLASS";"BrH";"LZB";"ELECTRIC";"TRAINCLASS";"T10km";"T10SYS";"STABFQ";"NAME"
1;1004;"155-1";1;100;719;1588;"P";73;FALSE;1;"FGz";506,17963677278;549,743140885997;1,08606332801328;"G1"
2;40016;"145-2";1;100;538;1380;"P";70;FALSE;1;"FGz";491,490930467792;549,743140885997;1,11852143510107;"G1"
3;40025;"145-2";1;100;538;1680;"P";75;FALSE;1;"FGz";520,48741575077;549,743140885997;1,05620832367873;"G1"
4;40085;"185-2";1;100;619;1485;"P";75;FALSE;1;"FGz";488,371856631382;549,743140885997;1,12566507144358;"G1"
5;40100;"189-2";1;100;539;1486;"P";69;FALSE;1;"FGz";484,324566212344;549,743140885997;1,13507176640916;"G1"
6;40101;"189-2";1;100;569;1486;"P";69;FALSE;1;"FGz";484,324566212344;549,743140885997;1,13507176640916;"G1"
7;40104;"189-2";1;100;539;1486;"P";69;FALSE;1;"FGz";484,324566212344;549,743140885997;1,13507176640916;"G1"
8;40105;"189-2";1;100;569;1486;"P";69;FALSE;1;"FGz";484,324566212344;549,743140885997;1,13507176640916;"G1"
9;40106;"189-2";1;100;569;1486;"P";69;FALSE;1;"FGz";484,324566212344;549,743140885997;1,13507176640916;"G1"
10;40215;"145-2";1;100;593;1380;"P";75;FALSE;1;"FGz";491,490930467792;549,743140885997;1,11852143510107;"G1"
11;40234;"185-2";1;100;619;1465;"P";75;FALSE;1;"GzG";486,935680191978;549,743140885997;1,12898512729496;"G1"
12;40235;"185-2";1;100;619;1885;"G";68;TRUE;1;"GzG";549,087623545267;659,847857745824;1,20171686530725;"s90"
13;40241;"Re 482-2";1;100;614;1684;"P";70;TRUE;1;"FGz";498,134981040961;549,743140885997;1,10360276192045;"G1"
14;40245;"Re 482-2";1;100;614;1684;"P";70;FALSE;1;"FGz";498,134981040961;549,743140885997;1,10360276192045;"G1"
15;40247;"Re 482-2";1;100;594;1684;"P";70;TRUE;1;"FGz";498,134981040961;549,743140885997;1,10360276192045;"G1"
16;40252;"Re 482-2";1;100;594;1484;"P";70;TRUE;1;"FGz";484,035282184807;549,743140885997;1,13575014285034;"G1"
17;40261;"Re 482-2";1;100;529;1684;"P";70;TRUE;1;"FGz";498,134981040961;549,743140885997;1,10360276192045;"G1"
18;40276;"Re 482-2";1;100;594;1484;"P";70;TRUE;1;"FGz";484,035282184807;549,743140885997;1,13575014285034;"G1"
19;40290;"Re 482-2";1;100;594;1484;"P";70;TRUE;1;"FGz";484,035282184807;549,743140885997;1,13575014285034;"G1"
20;40291;"Re 482-2";1;100;594;1684;"P";70;TRUE;1;"FGz";498,134981040961;549,743140885997;1,10360276192045;"G1"
21;40559;"151-1";1;100;559;1678;"P";75;FALSE;1;"FGz";501,633039807726;549,743140885997;1,09590696238173;"G1"
22;40671;"185-2";1;100;649;1685;"P";75;FALSE;1;"FGz";503,276651688776;549,743140885997;1,0923279254885;"G1"
23;41051;"185-2";1;100;569;1685;"P";70;FALSE;1;"FGz";503,276651688776;549,743140885997;1,0923279254885;"G1"
24;41052;"185-2";1;100;569;1485;"P";70;FALSE;1;"FGz";488,371856631382;549,743140885997;1,12566507144358;"G1"
25;41133;"189-2";1;100;659;1721;"G";80;TRUE;1;"GzG";530,323999931383;659,847857745824;1,24423533129031;"s90"
26;41556;"185-2";1;100;559;1385;"P";70;FALSE;1;"FGz";481,28110084307;549,743140885997;1,14224959160665;"G1"
27;41600;"145-2";1;100;573;1380;"P";71;FALSE;1;"FGz";491,490930467792;549,743140885997;1,11852143510107;"G1"
28;41603;"145-2";1;100;574;1680;"P";70;FALSE;1;"FGz";520,48741575077;549,743140885997;1,05620832367873;"G1"
29;41665;"185-2";1;100;619;1885;"G";68;TRUE;1;"GzG";549,087623545267;659,847857745824;1,20171686530725;"s90"
30;41710;"189-2";1;100;689;1886;"G";78;FALSE;1;"GzG";542,384503687847;659,847857745824;1,21656841827026;"s90"
31;41857;"189-2";1;100;569;1686;"P";70;TRUE;1;"FGz";498,07686857548;549,743140885997;1,10373152332548;"G1"
32;42014;"189-2";1;100;574;1486;"P";85;TRUE;1;"FGz";484,324566212344;549,743140885997;1,13507176640916;"G1"
33;42128;"185-2";1;100;559;1385;"P";70;FALSE;1;"FGz";481,28110084307;549,743140885997;1,14224959160665;"G1"
34;42610;"145-2";1;100;608;1680;"P";75;FALSE;1;"FGz";520,48741575077;549,743140885997;1,05620832367873;"G1"
35;42675;"189-3";1;100;620;1686;"P";70;TRUE;1;"GzG";499,016160376494;549,743140885997;1,10165398345262;"G1"
36;42759;"189-2";1;100;629;1686;"P";75;FALSE;1;"FGz";498,07686857548;549,743140885997;1,10373152332548;"G1"
37;42951;"189-2";1;100;659;1721;"G";80;FALSE;1;"GzG";530,323999931383;659,847857745824;1,24423533129031;"s90"
38;43002;"6186-1";1;100;569;1484;"G";80;FALSE;1;"GzG";518,06014933565;659,847857745824;1,27368966439901;"s90"
39;43025;"Re 482-2";1;100;619;1684;"P";67;FALSE;1;"FGz";498,134981040961;549,743140885997;1,10360276192045;"G1"
40;43064;"Re 482-2";1;100;599;1684;"P";70;TRUE;1;"FGz";498,134981040961;549,743140885997;1,10360276192045;"G1"
41;43075;"Re 482-2";1;100;594;1684;"P";67;TRUE;1;"FGz";498,134981040961;549,743140885997;1,10360276192045;"G1"
42;43240;"152-3";1;100;559;1387;"P";78;FALSE;1;"FGz";478,199095311769;549,743140885997;1,14961141975307;"G1"
43;43658;"145-2";1;100;538;1380;"P";70;FALSE;1;"FGz";491,490930467792;549,743140885997;1,11852143510107;"G1"
