"BTS";"NUM_TRAINS";"NUM_NOSYS";"SUM_T10_TRAINS";"SUM_T10_SYS";"MIN_BFQ";"Q25_BFQ";"Q50_BFQ";"Q75_BFQ";"MAX_BFQ";"ANZ_SYS"
"101";14;1;7549,57858899588;8652,28506045859;1;1,03797980241174;1,12122411838439;1,1696242594884;1,72988783582759;3
"103";37;3;21942,0841433219;24429,859040432;1;1,01373866612248;1,07423865362126;1,13881695855606;1,5042168226454;3
"105";59;5;32655,6681647649;36715,9215538911;1;1,07077242434225;1,13789411744513;1,17005118955341;1,35850545848628;2
"107";31;0;16490,2395434573;19606,9809662956;1,00784424707973;1,10587058926827;1,19825503513448;1,26387977711169;1,54024025692562;2
"109A";66;6;36364,3747161757;43192,9903500399;1;1,12437251883073;1,1628231603903;1,3001637531388;1,50077756520074;2
"109B";198;15;113718,441533726;134244,402697365;1;1,11557263581157;1,19960113686014;1,27153382135298;1,48946527441955;2
"111";42;3;22285,2007602967;24540,2167533201;1;1,06797272741716;1,11292324065763;1,14016286483201;1,26813957499218;2
"113";84;6;46332,9702276622;52433,832993549;1;1,00784424707973;1,11997926640972;1,2207286313897;1,37344678269931;2
"115A";25;2;12915,0454239074;14307,1013482822;1;1,02148631949466;1,03966064029496;1,14412721396806;1,48166714394974;2
"115B";53;4;26181,1989161858;27674,8558862183;1;1,00889310164451;1,05318375595079;1,10523820713073;1,16529125427306;2
"117";80;8;45478,2704441506;52537,9555318583;1;1,02978023145433;1,1835228695198;1,25609472674405;1,38284839095407;2
"119A";54;5;27567,8614568023;31092,1777722039;1;1,08829083100693;1,12731849137266;1,19132707991559;1,30961274465423;2
"11B";26;0;15382,2359092347;19220,7551899229;1,05192059186044;1,09899905520926;1,23172190895227;1,3930819982409;1,58925625966872;2
"121";62;4;31853,7199883883;35018,0296569592;1;1,02129847785086;1,05324828130973;1,16170295405287;1,31840176301125;2
"123";74;2;35951,1883520035;37442,6331573211;1;1,01707524665682;1,03774048473527;1,05923510829491;1,15018968107456;2
"125A";59;5;30624,3863131796;34769,3597801186;1;1,00847723928012;1,02894200386692;1,29908457515088;1,55155209844663;2
"125B";40;1;19987,0184183175;21882,7173152628;1;1,00889310164451;1,03823744419778;1,11811652550396;1,35902863836019;2
"125C";38;0;18930,0965926177;20748,0328849629;1,04019962474925;1,0450372104556;1,06579010257174;1,08643040266263;1,31804383973836;2
"127A";25;4;13508,465133317;14734,8291950747;1;1,06797272741716;1,10917390505517;1,12204833877093;1,32860719779231;2
"127C";40;3;19915,5790305623;21900,2419930492;1;1,00878452315451;1,03831437553724;1,15347404943896;1,38956512150367;2
"127D";8;0;3989,60508963252;4276,8203964902;1,03148289469981;1,03148289469981;1,0361074388684;1,03981823052107;1,31804383973836;2
"127E";169;13;84733,7439401672;88832,6081988713;1;1,00877540409711;1,03754042609143;1,08931306562846;1,16939940716404;2
"129A";200;16;99555,385258466;103997,381470816;1;1,00817199141265;1,0209974203648;1,07308114440953;1,17329716128294;2
"129";34;3;19022,2753666031;22244,3160879052;1;1,1024731652702;1,14392168697353;1,23716599702943;1,62642570792894;2
"131A";166;15;80979,0304007449;84853,7903335517;1;1,00781751102966;1,02894200386692;1,08874087349863;1,18825866009492;2
"131B";267;24;131671,658976552;137103,311146933;1;1,00764027083816;1,01912777879367;1,05923510829491;1,17329716128294;2
"133A";147;10;85757,0170670154;103810,96399206;1;1,07121230042555;1,19895446069826;1,34063427943076;1,60233791111738;2
"133B";106;10;59293,1197512098;69780,6344877546;1;1,09957363303346;1,17496270875046;1,2623353809631;1,47937590782885;2
"137";16;0;8118,59069025049;8550,9350851196;1;1;1,01602277592448;1,01602277592448;1,24381616863779;2
"139A";111;9;59746,7550823534;67644,3761223851;1;1,00889310164451;1,12420814528524;1,2219674476364;1,47598759041165;2
"139B";98;6;57867,2595871948;69895,6340904581;1;1,09718686883728;1,21005785174453;1,34274187975996;1,58047029439799;2
"143B";39;2;19573,4184414771;21359,0791205167;1;1,03706245216895;1,05547743174054;1,10241561158588;1,60638990561866;3
"143";53;4;28040,3966556472;32480,8528240328;1;1,09306141034986;1,13262547496802;1,23939190766921;1,38133863067635;2
"145B";25;1;14386,4328799695;16711,251746821;1;1,06403765557863;1,1594877032115;1,24235200536161;1,47516586067767;2
"147";40;4;22540,2239819462;26415,8154097417;1;1,05075352279316;1,12378548827307;1,28579667707506;1,57746979774771;2
"149";99;9;53370,3398418444;62658,1092310935;1;1,10274312131157;1,19070711256134;1,23431727589182;1,5274952802404;2
"151";18;0;10851,1669566763;12259,6155543941;1;1;1,06845238579556;1,14184349665032;1,51115044275899;3
"153";176;14;89672,4007803031;99723,003838343;1;1,02854737014336;1,06232908009437;1,18595659153314;1,38577428838989;2
"155B";83;11;44592,9310240406;49427,1187692514;1;1,07932467646316;1,10373152332548;1,14775039868108;1,33003899457811;2
"157A";85;8;43135,6426494482;48113,5000928164;1;1,03484891726344;1,0599379745581;1,16132733591534;1,38486911343775;2
"157B";104;10;53684,6094796311;60198,4212815161;1;1,03916387375028;1,06943418300529;1,17640273073129;1,39457685356007;2
"157";79;7;40280,972970337;44973,8112745489;1;1,0392244952914;1,06306417378361;1,19149289748246;1,39457685356007;2
