"X";"TRAINRUN";"TFZ";"NUM_TFZ";"VMAX";"TOTALLENGTH";"TOTALWEIGHT";"BREAKCLASS";"BrH";"LZB";"ELECTRIC";"TRAINCLASS";"T10km";"T10SYS";"STABFQ";"NAME"
1;1004;"155-1";1;100;719;1588;"P";73;FALSE;1;"FGz";506,17963677278;565,049630023443;1,11630257120969;"s90"
2;32700;"155-1";1;100;499;1833;"P";86;FALSE;1;"FGz";529,733804427967;565,049630023443;1,06666711714502;"s90"
3;40008;"185-2";1;100;594;1485;"P";78;TRUE;1;"FGz";488,371856631382;502,506316794503;1,02894200386692;"G10"
4;40009;"185-2";1;100;594;1675;"P";78;FALSE;1;"FGz";502,506316794503;502,506316794503;1;"G10"
5;40025;"145-2";1;100;538;1680;"P";75;FALSE;1;"FGz";520,48741575077;565,049630023443;1,08561631448552;"s90"
6;40085;"185-2";1;100;619;1485;"P";75;FALSE;1;"FGz";488,371856631382;502,506316794503;1,02894200386692;"G10"
7;40100;"189-2";1;100;539;1486;"P";69;TRUE;1;"FGz";484,324566212344;502,506316794503;1,03754042609143;"G10"
8;40101;"189-2";1;100;569;1486;"P";69;FALSE;1;"FGz";484,324566212344;502,506316794503;1,03754042609143;"G10"
9;40104;"189-2";1;100;539;1486;"P";69;TRUE;1;"FGz";484,324566212344;502,506316794503;1,03754042609143;"G10"
10;40105;"189-2";1;100;569;1486;"P";69;FALSE;1;"FGz";484,324566212344;502,506316794503;1,03754042609143;"G10"
11;40106;"189-2";1;100;569;1486;"P";69;TRUE;1;"FGz";484,324566212344;502,506316794503;1,03754042609143;"G10"
12;40126;"185-2";1;100;579;1465;"P";70;TRUE;1;"FGz";486,935680191978;502,506316794503;1,03197678304532;"G10"
13;40144;"185-2";1;100;534;1485;"P";75;TRUE;1;"FGz";488,371856631382;502,506316794503;1,02894200386692;"G10"
14;40184;"185-2";1;100;569;1465;"P";75;TRUE;1;"FGz";486,935680191978;502,506316794503;1,03197678304532;"G10"
15;40200;"189-2";1;100;594;1486;"P";70;TRUE;1;"FGz";484,324566212344;502,506316794503;1,03754042609143;"G10"
16;40234;"185-2";1;100;619;1465;"P";75;TRUE;1;"GzG";486,935680191978;502,506316794503;1,03197678304532;"G10"
17;40235;"185-2";1;100;619;1885;"G";68;TRUE;1;"GzG";549,087623545267;549,087623545267;1;"no"
18;40241;"Re 482-2";1;100;614;1684;"P";70;TRUE;1;"FGz";498,134981040961;502,506316794503;1,00877540409711;"G10"
19;40245;"Re 482-2";1;100;614;1684;"P";70;FALSE;1;"FGz";498,134981040961;502,506316794503;1,00877540409711;"G10"
20;40247;"Re 482-2";1;100;594;1684;"P";70;TRUE;1;"FGz";498,134981040961;502,506316794503;1,00877540409711;"G10"
21;40252;"Re 482-2";1;100;594;1484;"P";70;TRUE;1;"FGz";484,035282184807;502,506316794503;1,03816051285833;"G10"
22;40260;"Re 482-2";1;100;529;1484;"P";70;TRUE;1;"Gz";484,035282184807;502,506316794503;1,03816051285833;"G10"
23;40261;"Re 482-2";1;100;529;1684;"P";70;TRUE;1;"FGz";498,134981040961;502,506316794503;1,00877540409711;"G10"
24;40276;"Re 482-2";1;100;594;1484;"P";70;TRUE;1;"FGz";484,035282184807;502,506316794503;1,03816051285833;"G10"
25;40290;"Re 482-2";1;100;594;1484;"P";70;TRUE;1;"FGz";484,035282184807;502,506316794503;1,03816051285833;"G10"
26;40291;"Re 482-2";1;100;594;1684;"P";70;TRUE;1;"FGz";498,134981040961;502,506316794503;1,00877540409711;"G10"
27;40421;"4370-1";1;100;619;1490;"P";80;TRUE;1;"FGz";495,415155619233;565,049630023443;1,14055782027333;"s90"
28;40424;"4370-1";1;100;619;1490;"P";80;FALSE;1;"FGz";495,415155619233;565,049630023443;1,14055782027333;"s90"
29;40559;"151-1";1;100;559;1678;"P";75;FALSE;1;"FGz";501,633039807726;565,049630023443;1,12642028172631;"s90"
30;41051;"185-2";1;100;569;1685;"P";70;FALSE;1;"FGz";503,276651688776;502,506316794503;1;"G10"
31;41052;"185-2";1;100;569;1485;"P";70;TRUE;1;"FGz";488,371856631382;502,506316794503;1,02894200386692;"G10"
32;41082;"189-2";1;100;570;1466;"P";78;TRUE;1;"FGz";482,989202279285;502,506316794503;1,04040900795114;"G10"
33;41238;"4370-1";1;100;419;690;"P";109;FALSE;1;"NGz";438,95382019532;502,506316794503;1,14478173711053;"G10"
34;41600;"145-2";1;100;573;1380;"P";71;FALSE;1;"FGz";491,490930467792;565,049630023443;1,14966440883383;"s90"
35;41603;"145-2";1;100;574;1680;"P";70;FALSE;1;"FGz";520,48741575077;565,049630023443;1,08561631448552;"s90"
36;41665;"185-2";1;100;619;1885;"G";68;TRUE;1;"GzG";549,087623545267;549,087623545267;1;"no"
37;41666;"185-2";1;100;619;1465;"P";75;TRUE;1;"FGz";486,935680191978;502,506316794503;1,03197678304532;"G10"
38;41748;"189-2";1;90;629;1886;"G";69;FALSE;1;"GzG";560,951068893868;560,951068893868;1;"no"
39;41780;"185-2";1;100;669;1785;"G";86;TRUE;1;"GzG";540,903341850355;540,903341850355;1;"no"
40;42006;"145-2";1;100;593;1380;"P";70;FALSE;1;"FGz";491,490930467792;565,049630023443;1,14966440883383;"s90"
41;42014;"189-2";1;100;574;1486;"P";85;TRUE;1;"FGz";484,324566212344;502,506316794503;1,03754042609143;"G10"
42;42017;"145-2";1;100;593;1680;"P";70;TRUE;1;"FGz";520,48741575077;565,049630023443;1,08561631448552;"s90"
43;42018;"145-2";1;100;593;1380;"P";70;TRUE;1;"FGz";491,490930467792;565,049630023443;1,14966440883383;"s90"
44;42021;"145-2";1;100;593;1680;"P";70;FALSE;1;"FGz";520,48741575077;565,049630023443;1,08561631448552;"s90"
45;42610;"145-2";1;100;608;1680;"P";75;TRUE;1;"FGz";520,48741575077;565,049630023443;1,08561631448552;"s90"
