"X";"TRAINRUN";"TFZ";"NUM_TFZ";"VMAX";"TOTALLENGTH";"TOTALWEIGHT";"BREAKCLASS";"BrH";"LZB";"ELECTRIC";"TRAINCLASS";"T10km";"T10SYS";"STABFQ";"NAME"
1;41157;"185-2";1;100;669;1720;"G";68;FALSE;1;"GzG";535,757274157682;710,313658532563;1,32581243931651;"s90"
2;44422;"4370-1";1;100;619;1190;"P";70;FALSE;1;"NGz";472,238688882489;502,506316794503;1,06409391823368;"G16"
3;50019;"185-2";1;100;679;1685;"P";75;FALSE;1;"NGz";503,276651688776;502,506316794503;1;"G16"
4;50033;"152-3";1;120;719;1482;"P";82;TRUE;1;"FGz";484,499134212198;502,506316794503;1,03716659393331;"G16"
5;50078;"152-3";1;100;719;1617;"P";75;FALSE;1;"NGz";493,721997516041;502,506316794503;1,01779203544233;"G16"
6;50085;"152-3";1;100;699;1622;"P";78;TRUE;1;"FGz";494,069950523591;502,506316794503;1,01707524665682;"G16"
7;50221;"152-3";1;120;719;1462;"P";78;TRUE;1;"FGz";483,160130391067;502,506316794503;1,04004094126677;"G16"
8;50222;"152-3";1;100;589;1287;"P";78;TRUE;1;"FGz";471,727283388798;502,506316794503;1,06524751586254;"G16"
9;51475;"185-2";1;100;689;1625;"P";69;TRUE;1;"FGz";498,696143194552;502,506316794503;1,00764027083816;"G16"
10;51571;"185-2";1;100;719;1675;"P";68;TRUE;1;"FGz";502,506316794503;502,506316794503;1;"G16"
11;51575;"185-2";1;100;719;1675;"P";68;FALSE;1;"FGz";502,506316794503;502,506316794503;1;"G16"
12;51577;"185-2";1;100;699;1675;"P";68;FALSE;1;"FGz";502,506316794503;502,506316794503;1;"G16"
13;51581;"152-3";1;120;719;1462;"P";70;TRUE;1;"FGz";483,160130391067;502,506316794503;1,04004094126677;"G16"
14;51634;"185-2";1;100;719;1615;"P";70;TRUE;1;"FGz";497,9422080962;502,506316794503;1,00916594059329;"G16"
15;51808;"155-1";1;100;619;1458;"P";71;FALSE;1;"FGz";494,930748162573;710,313658532563;1,4351778732067;"s90"
16;51820;"185-2";1;100;719;1485;"P";70;FALSE;1;"FGz";488,371856631382;502,506316794503;1,02894200386692;"G16"
17;51828;"185-2";1;100;719;1485;"P";70;FALSE;1;"FGz";488,371856631382;502,506316794503;1,02894200386692;"G16"
18;51845;"155-1";1;100;509;1423;"P";68;FALSE;1;"FGz";492,022352499543;710,313658532563;1,44366135994446;"s90"
19;51849;"155-1";1;100;589;1553;"P";68;FALSE;1;"FGz";503,07777241435;710,313658532563;1,41193608122191;"s90"
20;51880;"185-2";1;100;719;1615;"P";70;FALSE;1;"FGz";497,9422080962;502,506316794503;1,00916594059329;"G16"
21;51882;"185-2";1;100;719;1615;"P";70;FALSE;1;"FGz";497,9422080962;502,506316794503;1,00916594059329;"G16"
22;52264;"155-1";1;100;719;1323;"P";69;FALSE;1;"FGz";483,963555387067;502,506316794503;1,03831437553724;"G16"
23;60112;"155-1";1;100;634;1323;"P";66;FALSE;1;"FGz";483,963555387067;502,506316794503;1,03831437553724;"G16"
24;60822;"155-1";1;100;599;923;"P";71;FALSE;1;"FGz";454,805151420173;502,506316794503;1,10488264089661;"G16"
25;60826;"155-1";1;100;539;923;"P";71;FALSE;1;"FGz";454,805151420173;502,506316794503;1,10488264089661;"G16"
26;60827;"185-2";1;100;539;1970;"P";61;FALSE;1;"FGz";526,567476250235;710,313658532563;1,34895087632607;"s90"
27;63342;"143-6";2;100;584;965;"P";70;TRUE;1;"NGz";440,744493574467;502,506316794503;1,1401306746209;"G16"
28;69296;"182-2";1;120;720;1616;"P";78;TRUE;1;"FGz";493,42282829846;502,506316794503;1,0184091371033;"G16"
29;69446;"146-3";1;90;419;2244;"P";59;TRUE;1;"NGz";564,069993481479;564,069993481479;1;"no"
30;75799;"146-3";1;100;419;684;"P";109;TRUE;1;"NGz";437,15995772911;502,506316794503;1,14947928763843;"G16"
31;79384;"185-2";1;90;419;2065;"P";59;TRUE;1;"NGz";549,897036994882;549,897036994882;1;"no"
32;88707;"185-2";1;100;469;585;"P";90;FALSE;1;"FGz";431,166264612334;502,506316794503;1,16545833484053;"G16"
33;88708;"185-2";1;90;379;2245;"P";60;TRUE;1;"FGz";562,82419202477;710,313658532563;1,26205246433562;"s90"
34;90981;"202-1";1;80;74;183;"P";75;FALSE;0;"NGz";510,791876593809;510,791876593809;1;"no"
35;91297;"Re 482-2";1;100;599;1864;"G";70;TRUE;1;"GzG";541,492541228415;710,313658532563;1,31176997733185;"s90"
36;91298;"Re 482-2";1;100;549;1884;"G";70;TRUE;1;"FGz";543,065232827141;710,313658532563;1,30797115262699;"s90"
37;95058;"185-2";1;100;579;1680;"P";68;TRUE;1;"FGz";502,89113159672;502,506316794503;1;"G16"
38;95059;"185-2";1;100;589;1680;"P";68;TRUE;1;"FGz";502,89113159672;502,506316794503;1;"G16"
39;95394;"183-1";1;80;589;1857;"P";75;TRUE;1;"NGz";564,812674373518;564,812674373518;1;"no"
40;95442;"185-2";1;100;701;1335;"P";62;TRUE;1;"NGz";477,8172404082;502,506316794503;1,05167054325041;"G16"
