"NAME";"COUNT";"MIN_BFQ";"MEDIAN_BFQ";"MAX_BFQ"
"s90";2009;1;1,25360853723228;1,72988783582759
"G16";1996;1;1,02569787663305;1,18825866009492
"G3";733;1;1,11223785338987;1,35671991472122
"G7";618;1;1,11852143510107;1,27932581453992
"G18";537;1;1,10146424658879;1,29177632288111
"G12";524;1;1,03075363602035;1,17722792138157
"G9";477;1,00784424707973;1,15332858270048;1,39144866616127
"G8";468;1,01250456774768;1,0599379745581;1,2046265332941
"G5";422;1;1,1628231603903;1,40233372572689
"G13";168;1;1,0781045014372;1,13023930118856
"G6";142;1;1,17190169933514;1,42901144823611
"G11";139;1;1,13885120059886;1,34230890492453
"G19";137;1,01500174147918;1,09702733047139;1,24677883211571
"G4";70;1,04937956561354;1,20013393111631;1,45075246149408
"G15";57;1,02943292613262;1,05620957700078;1,20996308033763
"G10";56;1,04211823692224;1,17083201006462;1,3930819982409
"G1";49;1,0522835593464;1,16937957572091;1,32326578185407
"G14";42;1;1,17170072129307;1,34185872737215
