"TIME";"G2_MIN";"G2_MAX";"s90_MIN";"s90_MAX"
"0:00-1:00";2;6;3;7
"1:00-2:00";2;6;1;7
"2:00-3:00";2;6;1;7
"3:00-4:00";2;6;1;7
"4:00-5:00";2;6;1;7
"5:00-6:00";2;6;1;7
"6:00-7:00";2;6;1;7
"7:00-8:00";2;6;1;7
"8:00-9:00";2;6;1;7
"9:00-10:00";2;6;3;7
"10:00-11:00";2;6;3;7
"11:00-12:00";2;6;2;7
"12:00-13:00";2;6;1;7
"13:00-14:00";2;6;1;7
"14:00-15:00";2;6;1;7
"15:00-16:00";2;6;3;7
"16:00-17:00";2;6;2;7
"17:00-18:00";2;6;1;7
"18:00-19:00";2;6;1;7
"19:00-20:00";2;6;1;7
"20:00-21:00";2;6;1;7
"21:00-22:00";2;6;1;7
"22:00-23:00";2;6;1;7
"23:00-24:00";2;6;2;7
"24:00-25:00";2;6;1;7
"25:00-26:00";2;6;1;7
"26:00-27:00";2;6;1;7
"27:00-28:00";2;6;1;7
"28:00-29:00";2;6;1;7
"29:00-30:00";2;6;1;7
"30:00-31:00";2;6;1;7
"31:00-32:00";2;6;1;7
"32:00-33:00";2;6;1;7
"33:00-34:00";2;6;1;7
"34:00-35:00";2;6;1;7
"35:00-36:00";2;6;1;7
"36:00-37:00";2;6;1;7
"37:00-38:00";2;6;1;7
"38:00-39:00";2;6;1;7
"39:00-40:00";2;6;1;7
"40:00-41:00";2;6;1;7
"41:00-42:00";2;6;1;7
"42:00-43:00";2;6;1;7
"43:00-44:00";2;6;1;7
"44:00-45:00";2;6;1;7
"45:00-46:00";2;6;1;7
"46:00-47:00";2;6;1;7
"47:00-48:00";2;6;1;7
