"TIME";"G6_MIN";"G6_MAX";"s90_MIN";"s90_MAX"
"0:00-1:00";2;3;1;10
"1:00-2:00";2;3;1;10
"2:00-3:00";2;3;1;10
"3:00-4:00";2;3;2;10
"4:00-5:00";2;3;1;10
"5:00-6:00";2;3;1;10
"6:00-7:00";2;3;1;10
"7:00-8:00";2;3;1;10
"8:00-9:00";2;3;1;10
"9:00-10:00";2;3;1;10
"10:00-11:00";2;3;3;10
"11:00-12:00";2;3;4;10
"12:00-13:00";2;3;1;10
"13:00-14:00";2;3;1;10
"14:00-15:00";2;3;1;10
"15:00-16:00";2;3;1;10
"16:00-17:00";2;3;1;10
"17:00-18:00";2;3;1;10
"18:00-19:00";2;3;1;10
"19:00-20:00";2;3;1;10
"20:00-21:00";2;3;1;10
"21:00-22:00";2;3;1;10
"22:00-23:00";2;3;1;10
"23:00-24:00";2;3;1;10
"24:00-25:00";2;3;1;10
"25:00-26:00";2;3;1;10
"26:00-27:00";2;3;1;10
"27:00-28:00";2;3;1;10
"28:00-29:00";2;3;1;10
"29:00-30:00";2;3;1;10
"30:00-31:00";2;3;1;10
"31:00-32:00";2;3;1;10
"32:00-33:00";2;3;1;10
"33:00-34:00";2;3;1;10
"34:00-35:00";2;3;1;10
"35:00-36:00";2;3;1;10
"36:00-37:00";2;3;1;10
"37:00-38:00";2;3;1;10
"38:00-39:00";2;3;1;10
"39:00-40:00";2;3;1;10
"40:00-41:00";2;3;1;10
"41:00-42:00";2;3;1;10
"42:00-43:00";2;3;1;10
"43:00-44:00";2;3;1;10
"44:00-45:00";2;3;1;10
"45:00-46:00";2;3;1;10
"46:00-47:00";2;3;1;10
"47:00-48:00";2;3;1;10
