"TIME";"G3_MIN";"G3_MAX";"s90_MIN";"s90_MAX"
"0:00-1:00";2;8;1;5
"1:00-2:00";2;8;1;5
"2:00-3:00";2;8;1;5
"3:00-4:00";2;8;1;5
"4:00-5:00";2;8;1;5
"5:00-6:00";2;8;1;5
"6:00-7:00";2;8;1;5
"7:00-8:00";2;8;1;5
"8:00-9:00";2;8;1;5
"9:00-10:00";3;8;1;5
"10:00-11:00";4;8;1;5
"11:00-12:00";4;8;1;5
"12:00-13:00";4;8;1;5
"13:00-14:00";2;8;2;5
"14:00-15:00";2;8;1;5
"15:00-16:00";2;8;1;5
"16:00-17:00";2;8;2;5
"17:00-18:00";2;8;2;5
"18:00-19:00";2;8;1;5
"19:00-20:00";2;8;1;5
"20:00-21:00";2;8;1;5
"21:00-22:00";2;8;1;5
"22:00-23:00";2;8;1;5
"23:00-24:00";2;8;3;5
"24:00-25:00";2;8;2;5
"25:00-26:00";3;8;1;5
"26:00-27:00";2;8;1;5
"27:00-28:00";2;8;2;5
"28:00-29:00";2;8;1;5
"29:00-30:00";2;8;1;5
"30:00-31:00";2;8;1;5
"31:00-32:00";2;8;1;5
"32:00-33:00";2;8;1;5
"33:00-34:00";2;8;1;5
"34:00-35:00";2;8;1;5
"35:00-36:00";2;8;1;5
"36:00-37:00";2;8;1;5
"37:00-38:00";2;8;1;5
"38:00-39:00";2;8;1;5
"39:00-40:00";2;8;1;5
"40:00-41:00";2;8;1;5
"41:00-42:00";2;8;1;5
"42:00-43:00";2;8;1;5
"43:00-44:00";2;8;1;5
"44:00-45:00";2;8;1;5
"45:00-46:00";2;8;1;5
"46:00-47:00";2;8;1;5
"47:00-48:00";2;8;1;5
