"TIME";"G2_MIN";"G2_MAX"
"0:00-1:00";4;12
"1:00-2:00";4;12
"2:00-3:00";4;12
"3:00-4:00";4;12
"4:00-5:00";4;12
"5:00-6:00";4;12
"6:00-7:00";4;12
"7:00-8:00";4;12
"8:00-9:00";4;12
"9:00-10:00";4;12
"10:00-11:00";4;12
"11:00-12:00";4;12
"12:00-13:00";4;12
"13:00-14:00";4;12
"14:00-15:00";4;12
"15:00-16:00";4;12
"16:00-17:00";4;12
"17:00-18:00";4;12
"18:00-19:00";4;12
"19:00-20:00";4;12
"20:00-21:00";4;12
"21:00-22:00";4;12
"22:00-23:00";4;12
"23:00-24:00";4;12
"24:00-25:00";4;12
"25:00-26:00";4;12
"26:00-27:00";4;12
"27:00-28:00";4;12
"28:00-29:00";4;12
"29:00-30:00";4;12
"30:00-31:00";4;12
"31:00-32:00";4;12
"32:00-33:00";4;12
"33:00-34:00";4;12
"34:00-35:00";4;12
"35:00-36:00";4;12
"36:00-37:00";4;12
"37:00-38:00";4;12
"38:00-39:00";4;12
"39:00-40:00";4;12
"40:00-41:00";4;12
"41:00-42:00";4;12
"42:00-43:00";4;12
"43:00-44:00";4;12
"44:00-45:00";4;12
"45:00-46:00";4;12
"46:00-47:00";4;12
"47:00-48:00";4;12
