"TIME";"G3_MIN";"G3_MAX";"s90_MIN";"s90_MAX"
"0:00-1:00";2;7;1;6
"1:00-2:00";2;7;1;6
"2:00-3:00";2;7;1;6
"3:00-4:00";2;7;1;6
"4:00-5:00";2;7;1;6
"5:00-6:00";2;7;1;6
"6:00-7:00";2;7;1;6
"7:00-8:00";2;7;1;6
"8:00-9:00";2;7;1;6
"9:00-10:00";2;7;1;6
"10:00-11:00";2;7;1;6
"11:00-12:00";2;7;1;6
"12:00-13:00";2;7;1;6
"13:00-14:00";2;7;1;6
"14:00-15:00";2;7;1;6
"15:00-16:00";2;7;1;6
"16:00-17:00";2;7;1;6
"17:00-18:00";2;7;1;6
"18:00-19:00";2;7;1;6
"19:00-20:00";2;7;1;6
"20:00-21:00";2;7;1;6
"21:00-22:00";2;7;1;6
"22:00-23:00";2;7;2;6
"23:00-24:00";2;7;2;6
"24:00-25:00";2;7;1;6
"25:00-26:00";2;7;1;6
"26:00-27:00";2;7;1;6
"27:00-28:00";2;7;1;6
"28:00-29:00";2;7;1;6
"29:00-30:00";2;7;1;6
"30:00-31:00";2;7;1;6
"31:00-32:00";2;7;1;6
"32:00-33:00";2;7;1;6
"33:00-34:00";2;7;1;6
"34:00-35:00";2;7;1;6
"35:00-36:00";2;7;1;6
"36:00-37:00";2;7;1;6
"37:00-38:00";2;7;1;6
"38:00-39:00";2;7;1;6
"39:00-40:00";2;7;1;6
"40:00-41:00";2;7;1;6
"41:00-42:00";2;7;1;6
"42:00-43:00";2;7;1;6
"43:00-44:00";2;7;1;6
"44:00-45:00";2;7;1;6
"45:00-46:00";2;7;1;6
"46:00-47:00";2;7;1;6
"47:00-48:00";2;7;1;6
