"TIME";"G4_MIN";"G4_MAX";"s90_MIN";"s90_MAX"
"0:00-1:00";2;10;1;3
"1:00-2:00";2;10;1;3
"2:00-3:00";2;10;1;3
"3:00-4:00";2;10;1;3
"4:00-5:00";2;10;1;3
"5:00-6:00";4;10;1;3
"6:00-7:00";4;10;1;3
"7:00-8:00";2;10;1;3
"8:00-9:00";2;10;1;3
"9:00-10:00";2;10;1;3
"10:00-11:00";2;10;1;3
"11:00-12:00";2;10;1;3
"12:00-13:00";2;10;2;3
"13:00-14:00";2;10;3;3
"14:00-15:00";2;10;2;3
"15:00-16:00";2;10;1;3
"16:00-17:00";2;10;1;3
"17:00-18:00";2;10;1;3
"18:00-19:00";5;10;1;3
"19:00-20:00";4;10;1;3
"20:00-21:00";2;10;1;3
"21:00-22:00";2;10;1;3
"22:00-23:00";5;10;1;3
"23:00-24:00";5;10;1;3
"24:00-25:00";2;10;1;3
"25:00-26:00";2;10;1;3
"26:00-27:00";2;10;1;3
"27:00-28:00";2;10;1;3
"28:00-29:00";2;10;1;3
"29:00-30:00";2;10;1;3
"30:00-31:00";2;10;1;3
"31:00-32:00";2;10;1;3
"32:00-33:00";2;10;1;3
"33:00-34:00";2;10;1;3
"34:00-35:00";2;10;1;3
"35:00-36:00";2;10;1;3
"36:00-37:00";2;10;1;3
"37:00-38:00";2;10;1;3
"38:00-39:00";2;10;1;3
"39:00-40:00";2;10;1;3
"40:00-41:00";2;10;1;3
"41:00-42:00";2;10;1;3
"42:00-43:00";2;10;1;3
"43:00-44:00";2;10;1;3
"44:00-45:00";2;10;1;3
"45:00-46:00";2;10;1;3
"46:00-47:00";2;10;1;3
"47:00-48:00";2;10;1;3
