"TIME";"G4_MIN";"G4_MAX";"s90_MIN";"s90_MAX"
"0:00-1:00";4;12;1;1
"1:00-2:00";4;12;1;1
"2:00-3:00";4;12;1;1
"3:00-4:00";4;12;1;1
"4:00-5:00";4;12;1;1
"5:00-6:00";4;12;1;1
"6:00-7:00";4;12;1;1
"7:00-8:00";4;12;1;1
"8:00-9:00";4;12;1;1
"9:00-10:00";4;12;1;1
"10:00-11:00";4;12;1;1
"11:00-12:00";4;12;1;1
"12:00-13:00";4;12;1;1
"13:00-14:00";4;12;1;1
"14:00-15:00";4;12;1;1
"15:00-16:00";4;12;1;1
"16:00-17:00";4;12;1;1
"17:00-18:00";4;12;1;1
"18:00-19:00";4;12;1;1
"19:00-20:00";4;12;1;1
"20:00-21:00";4;12;1;1
"21:00-22:00";4;12;1;1
"22:00-23:00";4;12;1;1
"23:00-24:00";4;12;1;1
"24:00-25:00";4;12;1;1
"25:00-26:00";4;12;1;1
"26:00-27:00";4;12;1;1
"27:00-28:00";4;12;1;1
"28:00-29:00";4;12;1;1
"29:00-30:00";4;12;1;1
"30:00-31:00";4;12;1;1
"31:00-32:00";4;12;1;1
"32:00-33:00";4;12;1;1
"33:00-34:00";4;12;1;1
"34:00-35:00";4;12;1;1
"35:00-36:00";4;12;1;1
"36:00-37:00";4;12;1;1
"37:00-38:00";4;12;1;1
"38:00-39:00";4;12;1;1
"39:00-40:00";4;12;1;1
"40:00-41:00";4;12;1;1
"41:00-42:00";4;12;1;1
"42:00-43:00";4;12;1;1
"43:00-44:00";4;12;1;1
"44:00-45:00";4;12;1;1
"45:00-46:00";4;12;1;1
"46:00-47:00";4;12;1;1
"47:00-48:00";4;12;1;1
