"TIME";"G4_MIN";"G4_MAX";"s90_MIN";"s90_MAX"
"0:00-1:00";2;4;1;8
"1:00-2:00";2;4;1;8
"2:00-3:00";2;4;1;8
"3:00-4:00";2;4;1;8
"4:00-5:00";2;4;1;8
"5:00-6:00";2;4;1;8
"6:00-7:00";2;4;1;8
"7:00-8:00";2;4;1;8
"8:00-9:00";2;4;1;8
"9:00-10:00";2;4;1;8
"10:00-11:00";2;4;1;8
"11:00-12:00";2;4;1;8
"12:00-13:00";2;4;1;8
"13:00-14:00";2;4;1;8
"14:00-15:00";2;4;1;8
"15:00-16:00";2;4;1;8
"16:00-17:00";2;4;1;8
"17:00-18:00";2;4;1;8
"18:00-19:00";2;4;1;8
"19:00-20:00";2;4;1;8
"20:00-21:00";2;4;1;8
"21:00-22:00";2;4;1;8
"22:00-23:00";2;4;1;8
"23:00-24:00";2;4;1;8
"24:00-25:00";2;4;1;8
"25:00-26:00";2;4;1;8
"26:00-27:00";2;4;1;8
"27:00-28:00";2;4;1;8
"28:00-29:00";2;4;1;8
"29:00-30:00";2;4;1;8
"30:00-31:00";2;4;1;8
"31:00-32:00";2;4;1;8
"32:00-33:00";2;4;1;8
"33:00-34:00";2;4;1;8
"34:00-35:00";2;4;1;8
"35:00-36:00";2;4;1;8
"36:00-37:00";2;4;1;8
"37:00-38:00";2;4;1;8
"38:00-39:00";2;4;1;8
"39:00-40:00";2;4;1;8
"40:00-41:00";2;4;1;8
"41:00-42:00";2;4;1;8
"42:00-43:00";2;4;1;8
"43:00-44:00";2;4;1;8
"44:00-45:00";2;4;1;8
"45:00-46:00";2;4;1;8
"46:00-47:00";2;4;1;8
"47:00-48:00";2;4;1;8
