"TIME";"G8_MIN";"G8_MAX";"s90_MIN";"s90_MAX"
"0:00-1:00";4;11;1;2
"1:00-2:00";4;11;1;2
"2:00-3:00";4;11;1;2
"3:00-4:00";4;11;1;2
"4:00-5:00";4;11;1;2
"5:00-6:00";4;11;1;2
"6:00-7:00";4;11;1;2
"7:00-8:00";4;11;1;2
"8:00-9:00";4;11;1;2
"9:00-10:00";4;11;1;2
"10:00-11:00";4;11;1;2
"11:00-12:00";4;11;1;2
"12:00-13:00";4;11;1;2
"13:00-14:00";4;11;1;2
"14:00-15:00";4;11;1;2
"15:00-16:00";4;11;1;2
"16:00-17:00";4;11;1;2
"17:00-18:00";4;11;1;2
"18:00-19:00";4;11;1;2
"19:00-20:00";4;11;1;2
"20:00-21:00";4;11;1;2
"21:00-22:00";4;11;1;2
"22:00-23:00";4;11;1;2
"23:00-24:00";6;11;1;2
"24:00-25:00";5;11;2;2
"25:00-26:00";4;11;1;2
"26:00-27:00";4;11;1;2
"27:00-28:00";4;11;1;2
"28:00-29:00";4;11;1;2
"29:00-30:00";4;11;1;2
"30:00-31:00";4;11;1;2
"31:00-32:00";4;11;1;2
"32:00-33:00";4;11;1;2
"33:00-34:00";4;11;1;2
"34:00-35:00";4;11;1;2
"35:00-36:00";4;11;1;2
"36:00-37:00";4;11;1;2
"37:00-38:00";4;11;1;2
"38:00-39:00";4;11;1;2
"39:00-40:00";4;11;1;2
"40:00-41:00";4;11;1;2
"41:00-42:00";4;11;1;2
"42:00-43:00";4;11;1;2
"43:00-44:00";4;11;1;2
"44:00-45:00";4;11;1;2
"45:00-46:00";4;11;1;2
"46:00-47:00";4;11;1;2
"47:00-48:00";4;11;1;2
