"";"G2";"s90"
"0:00";0;0
"1:00";4;4
"2:00";2;0
"3:00";2;1
"4:00";2;3
"5:00";0;2
"6:00";1;3
"7:00";1;1
"8:00";2;2
"9:00";4;3
"10:00";2;4
"11:00";1;0
"12:00";0;2
"13:00";2;1
"14:00";2;1
"15:00";2;1
"16:00";3;1
"17:00";2;1
"18:00";2;1
"19:00";2;1
"20:00";1;3
"21:00";4;2
"22:00";2;2
"23:00";3;1
"24:00";3;2
"25:00";1;0
"26:00";0;1
"27:00";0;0
"28:00";0;0
"29:00";0;0
"30:00";0;0
"31:00";0;0
"32:00";0;0
"33:00";0;0
"34:00";0;0
"35:00";0;0
"36:00";0;0
"37:00";0;0
"38:00";0;0
"39:00";0;0
"40:00";0;0
"41:00";0;0
"42:00";0;0
"43:00";0;0
"44:00";0;0
"45:00";0;0
"46:00";0;0
"47:00";0;0
"48:00";0;0
