"";"G7";"s90"
"0:00";1;0
"1:00";4;1
"2:00";1;0
"3:00";3;1
"4:00";2;2
"5:00";3;2
"6:00";2;1
"7:00";3;1
"8:00";2;1
"9:00";3;1
"10:00";5;0
"11:00";4;1
"12:00";2;1
"13:00";2;0
"14:00";4;0
"15:00";2;1
"16:00";4;1
"17:00";3;0
"18:00";4;1
"19:00";3;1
"20:00";1;1
"21:00";3;2
"22:00";2;2
"23:00";3;2
"24:00";6;3
"25:00";0;0
"26:00";0;0
"27:00";0;0
"28:00";0;0
"29:00";0;0
"30:00";0;0
"31:00";0;0
"32:00";0;0
"33:00";0;0
"34:00";0;0
"35:00";0;0
"36:00";0;0
"37:00";0;0
"38:00";0;0
"39:00";0;0
"40:00";0;0
"41:00";0;0
"42:00";0;0
"43:00";0;0
"44:00";0;0
"45:00";0;0
"46:00";0;0
"47:00";0;0
"48:00";0;0
