"";"G4";"s90"
"0:00";1;1
"1:00";0;0
"2:00";2;0
"3:00";1;1
"4:00";2;0
"5:00";0;0
"6:00";1;1
"7:00";3;1
"8:00";3;1
"9:00";2;1
"10:00";2;0
"11:00";2;1
"12:00";1;2
"13:00";1;1
"14:00";3;1
"15:00";2;0
"16:00";1;1
"17:00";2;1
"18:00";2;0
"19:00";2;0
"20:00";2;1
"21:00";0;0
"22:00";3;2
"23:00";2;1
"24:00";4;1
"25:00";3;2
"26:00";3;1
"27:00";2;0
"28:00";0;0
"29:00";0;2
"30:00";0;0
"31:00";0;0
"32:00";0;2
"33:00";0;0
"34:00";0;0
"35:00";0;0
"36:00";0;0
"37:00";0;0
"38:00";0;0
"39:00";0;0
"40:00";0;0
"41:00";0;0
"42:00";0;0
"43:00";0;0
"44:00";0;0
"45:00";0;0
"46:00";0;0
"47:00";0;0
"48:00";0;0
