"";"G3";"s90"
"0:00";0;0
"1:00";0;1
"2:00";0;0
"3:00";0;0
"4:00";0;0
"5:00";0;2
"6:00";1;0
"7:00";0;0
"8:00";1;1
"9:00";2;1
"10:00";0;0
"11:00";1;2
"12:00";3;0
"13:00";3;1
"14:00";1;0
"15:00";0;1
"16:00";0;2
"17:00";0;1
"18:00";0;2
"19:00";0;1
"20:00";0;1
"21:00";2;0
"22:00";1;1
"23:00";1;1
"24:00";2;1
"25:00";0;1
"26:00";3;2
"27:00";0;0
"28:00";4;0
"29:00";3;1
"30:00";2;0
"31:00";1;0
"32:00";1;1
"33:00";1;0
"34:00";3;0
"35:00";1;0
"36:00";0;0
"37:00";0;0
"38:00";0;0
"39:00";0;0
"40:00";0;0
"41:00";0;0
"42:00";0;0
"43:00";0;0
"44:00";0;0
"45:00";0;0
"46:00";0;0
"47:00";0;0
"48:00";0;0
