"";"G8";"s90"
"0:00";0;0
"1:00";1;1
"2:00";1;0
"3:00";0;1
"4:00";0;0
"5:00";0;2
"6:00";0;1
"7:00";1;0
"8:00";3;0
"9:00";1;1
"10:00";1;0
"11:00";2;2
"12:00";2;2
"13:00";4;3
"14:00";2;1
"15:00";1;3
"16:00";0;0
"17:00";2;2
"18:00";1;0
"19:00";2;2
"20:00";1;1
"21:00";3;2
"22:00";0;1
"23:00";1;2
"24:00";4;1
"25:00";1;1
"26:00";0;2
"27:00";1;1
"28:00";4;1
"29:00";2;1
"30:00";0;0
"31:00";2;0
"32:00";1;0
"33:00";1;0
"34:00";1;1
"35:00";1;0
"36:00";0;1
"37:00";0;0
"38:00";0;0
"39:00";0;0
"40:00";0;0
"41:00";0;0
"42:00";0;0
"43:00";0;0
"44:00";0;0
"45:00";0;0
"46:00";0;0
"47:00";0;0
"48:00";0;0
