"";"G9";"s90"
"0:00";0;0
"1:00";0;0
"2:00";1;0
"3:00";1;0
"4:00";1;3
"5:00";3;0
"6:00";1;0
"7:00";3;1
"8:00";1;1
"9:00";1;2
"10:00";2;1
"11:00";1;3
"12:00";0;1
"13:00";3;1
"14:00";1;0
"15:00";1;2
"16:00";2;0
"17:00";1;1
"18:00";0;0
"19:00";4;2
"20:00";6;0
"21:00";2;1
"22:00";1;3
"23:00";4;3
"24:00";2;2
"25:00";2;3
"26:00";1;0
"27:00";1;0
"28:00";1;0
"29:00";0;1
"30:00";0;0
"31:00";0;1
"32:00";1;0
"33:00";0;0
"34:00";0;0
"35:00";0;0
"36:00";0;0
"37:00";0;0
"38:00";0;0
"39:00";0;0
"40:00";0;0
"41:00";0;0
"42:00";0;0
"43:00";0;0
"44:00";0;0
"45:00";0;0
"46:00";0;0
"47:00";0;0
"48:00";0;0
