"";"G9";"s90"
"0:00";0;0
"1:00";1;1
"2:00";2;0
"3:00";1;2
"4:00";1;0
"5:00";3;0
"6:00";1;1
"7:00";3;2
"8:00";0;1
"9:00";3;0
"10:00";3;0
"11:00";1;1
"12:00";3;2
"13:00";3;0
"14:00";2;0
"15:00";2;0
"16:00";2;0
"17:00";1;0
"18:00";1;2
"19:00";2;1
"20:00";2;2
"21:00";2;0
"22:00";3;1
"23:00";3;1
"24:00";4;2
"25:00";4;2
"26:00";1;0
"27:00";1;1
"28:00";0;2
"29:00";0;0
"30:00";0;0
"31:00";0;1
"32:00";0;1
"33:00";0;0
"34:00";0;0
"35:00";0;0
"36:00";0;0
"37:00";0;0
"38:00";0;0
"39:00";0;0
"40:00";0;0
"41:00";0;0
"42:00";0;0
"43:00";0;0
"44:00";0;0
"45:00";0;0
"46:00";0;0
"47:00";0;0
"48:00";0;0
