"";"G6";"s90"
"0:00";0;0
"1:00";0;0
"2:00";0;1
"3:00";1;0
"4:00";3;1
"5:00";0;0
"6:00";0;0
"7:00";4;0
"8:00";0;1
"9:00";6;0
"10:00";2;2
"11:00";3;1
"12:00";3;1
"13:00";1;0
"14:00";2;2
"15:00";2;2
"16:00";0;1
"17:00";1;1
"18:00";2;2
"19:00";1;0
"20:00";2;0
"21:00";7;1
"22:00";3;1
"23:00";5;1
"24:00";4;2
"25:00";6;2
"26:00";4;0
"27:00";4;1
"28:00";4;0
"29:00";3;1
"30:00";1;2
"31:00";0;0
"32:00";7;1
"33:00";1;1
"34:00";1;0
"35:00";0;0
"36:00";0;0
"37:00";0;0
"38:00";0;0
"39:00";0;0
"40:00";0;0
"41:00";0;0
"42:00";0;0
"43:00";0;0
"44:00";0;0
"45:00";0;0
"46:00";0;0
"47:00";0;0
"48:00";0;0
