"";"TRAINRUN";"TFZ";"NUM_TFZ";"VMAX";"TOTALLENGTH";"TOTALWEIGHT";"BREAKCLASS";"BrH";"LZB";"ELECTRIC";"TRAINCLASS"
"1";41157;"185-2";1;100;669;1720;"G";68;FALSE;1;"GzG"
"2";44422;"4370-1";1;100;619;1190;"P";70;FALSE;1;"NGz"
"3";50019;"185-2";1;100;679;1685;"P";75;FALSE;1;"NGz"
"4";50033;"152-3";1;120;719;1482;"P";82;TRUE;1;"FGz"
"5";50078;"152-3";1;100;719;1617;"P";75;FALSE;1;"NGz"
"6";50085;"152-3";1;100;699;1622;"P";78;TRUE;1;"FGz"
"7";50221;"152-3";1;120;719;1462;"P";78;TRUE;1;"FGz"
"8";50222;"152-3";1;100;589;1287;"P";78;TRUE;1;"FGz"
"9";51475;"185-2";1;100;689;1625;"P";69;TRUE;1;"FGz"
"10";51571;"185-2";1;100;719;1675;"P";68;TRUE;1;"FGz"
"11";51575;"185-2";1;100;719;1675;"P";68;FALSE;1;"FGz"
"12";51577;"185-2";1;100;699;1675;"P";68;FALSE;1;"FGz"
"13";51581;"152-3";1;120;719;1462;"P";70;TRUE;1;"FGz"
"14";51634;"185-2";1;100;719;1615;"P";70;TRUE;1;"FGz"
"15";51808;"155-1";1;100;619;1458;"P";71;FALSE;1;"FGz"
"16";51820;"185-2";1;100;719;1485;"P";70;FALSE;1;"FGz"
"17";51828;"185-2";1;100;719;1485;"P";70;FALSE;1;"FGz"
"18";51845;"155-1";1;100;509;1423;"P";68;FALSE;1;"FGz"
"19";51849;"155-1";1;100;589;1553;"P";68;FALSE;1;"FGz"
"20";51880;"185-2";1;100;719;1615;"P";70;FALSE;1;"FGz"
"21";51882;"185-2";1;100;719;1615;"P";70;FALSE;1;"FGz"
"22";52264;"155-1";1;100;719;1323;"P";69;FALSE;1;"FGz"
"23";60112;"155-1";1;100;634;1323;"P";66;FALSE;1;"FGz"
"24";60822;"155-1";1;100;599;923;"P";71;FALSE;1;"FGz"
"25";60826;"155-1";1;100;539;923;"P";71;FALSE;1;"FGz"
"26";60827;"185-2";1;100;539;1970;"P";61;FALSE;1;"FGz"
"27";63342;"143-6";2;100;584;965;"P";70;TRUE;1;"NGz"
"28";69296;"182-2";1;120;720;1616;"P";78;TRUE;1;"FGz"
"29";69446;"146-3";1;90;419;2244;"P";59;TRUE;1;"NGz"
"30";75799;"146-3";1;100;419;684;"P";109;TRUE;1;"NGz"
"31";79384;"185-2";1;90;419;2065;"P";59;TRUE;1;"NGz"
"32";88707;"185-2";1;100;469;585;"P";90;FALSE;1;"FGz"
"33";88708;"185-2";1;90;379;2245;"P";60;TRUE;1;"FGz"
"34";90981;"202-1";1;80;74;183;"P";75;FALSE;0;"NGz"
"35";91297;"Re 482-2";1;100;599;1864;"G";70;TRUE;1;"GzG"
"36";91298;"Re 482-2";1;100;549;1884;"G";70;TRUE;1;"FGz"
"37";95058;"185-2";1;100;579;1680;"P";68;TRUE;1;"FGz"
"38";95059;"185-2";1;100;589;1680;"P";68;TRUE;1;"FGz"
"39";95394;"183-1";1;80;589;1857;"P";75;TRUE;1;"NGz"
"40";95442;"185-2";1;100;701;1335;"P";62;TRUE;1;"NGz"
