"";"TRAINRUN";"TFZ";"NUM_TFZ";"VMAX";"TOTALLENGTH";"TOTALWEIGHT";"BREAKCLASS";"BrH";"LZB";"ELECTRIC";"TRAINCLASS"
"1";41238;"4370-1";1;100;419;690;"P";109;FALSE;1;"NGz"
"2";47398;"140-1";1;100;616;1083;"P";70;FALSE;1;"NGz"
"3";49510;"185-2";1;100;566;1515;"P";85;TRUE;1;"NGz"
"4";60029;"185-2";1;100;719;1685;"P";69;FALSE;1;"FGz"
"5";60101;"155-1";1;100;719;1623;"P";69;FALSE;1;"FGz"
"6";60105;"155-1";1;100;719;1323;"P";64;FALSE;1;"FGz"
"7";95394;"183-1";1;80;589;1917;"P";75;TRUE;1;"NGz"
"8";42226;"4370-1";1;100;639;1890;"G";90;FALSE;1;"GzG"
"9";44249;"185-2";1;100;699;1685;"P";65;FALSE;1;"FGz"
"10";44403;"185-2";1;90;619;1835;"G";65;FALSE;1;"GzG"
"11";44405;"185-2";1;90;619;1885;"G";65;FALSE;1;"GzG"
"12";47199;"4370-1";1;100;599;1870;"G";69;FALSE;1;"GzG"
"13";52801;"185-2";1;90;719;1970;"G";70;TRUE;1;"GzG"
"14";52803;"185-2";1;90;674;1970;"G";70;FALSE;1;"GzG"
"15";52809;"185-2";1;100;679;1685;"P";64;FALSE;1;"NGz"
"16";52815;"185-2";1;80;719;1685;"P";50;FALSE;1;"FGz"
"17";52822;"185-2";1;90;719;2205;"G";70;FALSE;1;"GzG"
"18";52827;"185-2";1;90;719;1285;"P";53;FALSE;1;"NGz"
"19";52828;"185-2";1;100;719;1685;"P";65;FALSE;1;"NGz"
"20";55730;"185-2";1;90;569;2585;"G";59;FALSE;1;"GzG"
"21";55734;"294-3";1;80;374;1380;"P";40;FALSE;0;"NGz"
"22";60717;"185-2";1;100;639;1085;"P";65;FALSE;1;"FGz"
"23";60718;"185-2";1;90;639;2585;"G";62;TRUE;1;"NGz"
"24";62532;"185-2";1;100;419;1584;"P";67;TRUE;1;"NGz"
"25";62546;"185-2";1;100;369;1484;"P";70;TRUE;1;"NGz"
