"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"TOTALWEIGHT";"BREAKCLASS";"VMAX";"TFZ";"NUM_TFZ";"T10"
239;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;1900;"G";30;"1116-1";1;550,239133521278
240;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;2000;"G";30;"1116-1";1;558,132264101857
241;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;2100;"G";30;"1116-1";1;566,302824504387
242;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;2200;"G";30;"1116-1";1;574,780606186507
243;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;2300;"G";30;"1116-1";1;583,603322044179
244;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;2400;"G";30;"1116-1";1;592,820597912853
245;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;2500;"G";30;"1116-1";1;609,293993073185
246;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;2600;"G";30;"1116-1";1;616,982087577796
247;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;2700;"G";30;"1116-1";1;624,908239936142
262;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;1900;"P";30;"1116-1";1;550,239133521278
263;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;2000;"P";30;"1116-1";1;558,132264101857
264;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;2100;"P";30;"1116-1";1;566,302824504387
265;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;2200;"P";30;"1116-1";1;574,780606186507
266;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;2300;"P";30;"1116-1";1;583,603322044179
267;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;2400;"P";30;"1116-1";1;592,820597912853
268;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;2500;"P";30;"1116-1";1;609,293993073185
269;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;2600;"P";30;"1116-1";1;616,982087577796
270;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;2700;"P";30;"1116-1";1;624,908239936142
290;62;"G";100;0,953271028037383;0,94392523364486;1;0,97196261682243;0,906542056074766;2400;"G";40;"1116-1";1;592,820597912853
291;62;"G";100;0,953271028037383;0,94392523364486;1;0,97196261682243;0,906542056074766;2500;"G";40;"1116-1";1;609,293993073185
292;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;2600;"G";40;"1116-1";1;616,982087577796
293;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;2700;"G";40;"1116-1";1;624,908239936142
313;62;"G";100;0,953271028037383;0,94392523364486;1;0,97196261682243;0,906542056074766;2400;"P";40;"1116-1";1;592,820597912853
314;62;"G";100;0,953271028037383;0,94392523364486;1;0,97196261682243;0,906542056074766;2500;"P";40;"1116-1";1;609,293993073185
315;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;2600;"P";40;"1116-1";1;616,982087577796
316;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;2700;"P";40;"1116-1";1;624,908239936142
593;62;"G";100;0,953271028037383;0,94392523364486;1;0,97196261682243;0,906542056074766;1200;"G";30;"1144-1";1;543,475882423232
594;62;"G";100;0,953271028037383;0,94392523364486;1;0,97196261682243;0,906542056074766;1300;"G";30;"1144-1";1;554,899704301152
595;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;1400;"G";30;"1144-1";1;566,914883767021
596;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;1500;"G";30;"1144-1";1;579,607324551865
597;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;1600;"G";30;"1144-1";1;593,090605088766
598;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;1700;"G";30;"1144-1";1;612,971172926569
599;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;1800;"G";30;"1144-1";1;624,738894959082
600;62;"G";100;0,953271028037383;0,94392523364486;1;0,97196261682243;0,906542056074766;1200;"P";30;"1144-1";1;543,475882423232
601;62;"G";100;0,953271028037383;0,94392523364486;1;0,97196261682243;0,906542056074766;1300;"P";30;"1144-1";1;554,899704301152
602;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;1400;"P";30;"1144-1";1;566,914883767021
603;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;1500;"P";30;"1144-1";1;579,607324551865
604;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;1600;"P";30;"1144-1";1;593,090605088766
605;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;1700;"P";30;"1144-1";1;612,971172926569
606;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;1800;"P";30;"1144-1";1;624,738894959082
611;62;"G";100;0,953271028037383;0,94392523364486;1;0,97196261682243;0,906542056074766;1600;"G";40;"1144-1";1;593,090605088766
612;62;"G";100;0,953271028037383;0,94392523364486;1;0,97196261682243;0,906542056074766;1700;"G";40;"1144-1";1;612,971172926569
613;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;1800;"G";40;"1144-1";1;624,738894959082
618;62;"G";100;0,953271028037383;0,94392523364486;1;0,97196261682243;0,906542056074766;1600;"P";40;"1144-1";1;593,090605088766
619;62;"G";100;0,953271028037383;0,94392523364486;1;0,97196261682243;0,906542056074766;1700;"P";40;"1144-1";1;612,971172926569
620;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;1800;"P";40;"1144-1";1;624,738894959082
713;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;1700;"G";30;"1265-1";1;753,302575163045
714;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;1800;"G";30;"1265-1";1;763,521654480914
723;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;1700;"P";30;"1265-1";1;753,302575163045
724;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;1800;"P";30;"1265-1";1;763,521654480914
733;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;1700;"G";40;"1265-1";1;753,302575163045
734;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;1800;"G";40;"1265-1";1;763,521654480914
743;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;1700;"P";40;"1265-1";1;753,302575163045
744;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;1800;"P";40;"1265-1";1;763,521654480914
753;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;1700;"G";50;"1265-1";1;753,302575163045
754;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;1800;"G";50;"1265-1";1;763,521654480914
763;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;1700;"P";50;"1265-1";1;753,302575163045
764;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;1800;"P";50;"1265-1";1;763,521654480914
773;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;1700;"G";60;"1265-1";1;753,302575163045
774;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;1800;"G";60;"1265-1";1;763,521654480914
783;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;1700;"P";60;"1265-1";1;753,302575163045
784;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;1800;"P";60;"1265-1";1;763,521654480914
793;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;1700;"G";70;"1265-1";1;753,302575163045
794;62;"G";100;0,962616822429907;0,94392523364486;1;0,97196261682243;0,91588785046729;1800;"G";70;"1265-1";1;763,521654480914
