"";"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"select_av";"select_all";"select_t10";"TOTALWEIGHT";"BREAKCLASS";"VMAX";"TFZ";"NUM_TFZ";"T10"
"136197";8425;54;"G";90;0,905325443786982;1;1;0,988165680473373;0,905325443786982;1;0;0;1800;"G";60;"232-1";1;749,725090993696
"105351";9666;60;"G";90;0,911242603550296;0,958579881656805;1;0,988165680473373;0,905325443786982;0;1;0;2700;"G";50;"247-1";1;765,969018676609
"85955";14;62;"G";90;0,928994082840237;0,940828402366864;1;0,988165680473373;0,905325443786982;0;0;0;1800;"G";30;"1016-1";1;561,00663958413
"204797";4233;54;"P";80;0,928994082840237;1;0,93491124260355;1;0,905325443786982;0;0;0;2200;"G";30;"156-1";1;591,298237160602
"62660";608;54;"P";90;0,940828402366864;1;0,93491124260355;0,988165680473373;0,905325443786982;0;0;1;1300;"G";40;"1144-1";1;544,114364117227
"195586";732;56;"P";80;0,946745562130177;0,988165680473373;0,93491124260355;1;0,905325443786982;0;0;0;1600;"G";40;"1265-1";1;726,119853319977
"79599";3789;64;"G";90;0,964497041420118;0,923076923076923;1;0,988165680473373;0,905325443786982;0;0;0;2500;"G";30;"155-1";1;646,588964142461
"55171";1188;56;"P";90;0,970414201183432;0,988165680473373;0,93491124260355;0,988165680473373;0,905325443786982;0;0;0;1600;"G";30;"140-1";1;584,330930251441
"39404";916;59;"P";90;0,994082840236686;0,964497041420118;0,93491124260355;0,988165680473373;0,905325443786982;0;0;0;1700;"G";30;"139-1";1;597,767410318909
"70337";242;65;"G";90;1;0,905325443786982;1;0,988165680473373;0,905325443786982;0;0;0;2200;"G";30;"1116-1";1;587,50738461758
