"";"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"select_av";"select_all";"select_t10";"TOTALWEIGHT";"BREAKCLASS";"VMAX";"TFZ";"NUM_TFZ";"T10"
"219253";182;58;"G";80;0,9;0,97;1;1;0,9;0;0;0;1800;"G";90;"1016-1";1;591,166971571777
"121759";19475;54;"G";90;0,91;0,995;1;0,965;0,9;1;0;0;1900;"G";80;"Re 482-2";1;565,280849470979
"89807";1152;58;"G";90;0,915;0,97;1;0,965;0,9;0;0;0;1500;"G";100;"139-1";1;599,367744999654
"203001";14;60;"G";80;0,915;0,945;1;1;0,9;0;0;0;1800;"G";30;"1016-1";1;591,166971571777
"74234";2949;60;"G";90;0,93;0,945;1;0,965;0,9;0;0;0;2300;"G";100;"151-1";1;601,387560973004
"195148";694;61;"G";80;0,945;0,91;1;1;0,9;0;0;0;1500;"G";100;"1144-1";1;615,462594995597
"178908";694;54;"P";80;0,945;0,995;0,945;1;0,9;0;0;0;1500;"G";100;"1144-1";1;591,653071186073
"171614";2787;56;"P";80;0,955;0,985;0,945;1;0,905;0;0;0;2300;"G";70;"151-1";1;597,836779797821
"65229";695;61;"G";90;0,96;0,91;1;0,965;0,9;0;1;0;1600;"G";100;"1144-1";1;601,757134041745
"163126";1765;57;"P";80;0,96;0,975;0,945;1;0,9;0;0;0;1500;"G";60;"143-6";1;601,081857131545
"48778";333;54;"P";90;0,97;0,995;0,945;0,965;0,9;0;0;1;2100;"G";50;"1116-1";1;553,843620709494
"41585";2490;56;"P";90;0,975;0,985;0,945;0,965;0,9;0;0;0;2200;"G";90;"146-3";1;567,080092854794
"154297";240;58;"P";80;0,975;0,97;0,945;1;0,9;0;0;0;2000;"G";30;"1116-1";1;578,302085458819
"24480";473;58;"P";90;0,98;0,97;0,945;0,965;0,9;0;0;0;2300;"G";80;"1116-1";1;567,784170185825
"146179";242;59;"P";80;0,99;0,955;0,945;1;0,9;0;0;0;2200;"G";30;"1116-1";1;589,716361455504
