"";"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"select_av";"select_all";"select_t10";"TOTALWEIGHT";"BREAKCLASS";"VMAX";"TFZ";"NUM_TFZ";"T10"
"553163";3691;56;"G";80;0,902621722846442;0,99625468164794;1;1;0,902621722846442;0;0;0;1600;"G";90;"152-3";1;581,236360293447
"532367";152;58;"G";80;0,906367041198502;0,9812734082397;1;1;0,902621722846442;0;0;0;1600;"G";80;"1016-1";1;580,657803117465
"361769";1082;56;"G";90;0,910112359550562;0,99625468164794;1;0,98501872659176;0,902621722846442;0;0;0;1300;"G";80;"139-1";1;576,961620340988
"342717";1014;58;"G";90;0,913857677902622;0,9812734082397;1;0,98501872659176;0,902621722846442;0;0;0;1300;"G";60;"139-1";1;576,961620340988
"513343";96;60;"G";80;0,921348314606742;0,958801498127341;1;1;0,902621722846442;0;0;0;1600;"G";60;"1016-1";1;580,657803117465
"323211";40;60;"G";90;0,925093632958802;0,958801498127341;1;0,98501872659176;0,902621722846442;0;0;1;1600;"G";40;"1016-1";1;548,686925623836
"503825";40;61;"G";80;0,925093632958802;0,943820224719101;1;1;0,902621722846442;0;0;0;1600;"G";40;"1016-1";1;580,657803117465
"313699";12;61;"G";90;0,928838951310861;0,943820224719101;1;0,98501872659176;0,902621722846442;0;0;0;1600;"G";30;"1016-1";1;548,686925623836
"494314";13;62;"G";80;0,936329588014981;0,925093632958802;1;1;0,902621722846442;0;0;0;1700;"G";30;"1016-1";1;585,859930596489
"456730";913;56;"P";80;0,940074906367041;0,99625468164794;0,943820224719101;1;0,902621722846442;0;0;0;1400;"G";30;"139-1";1;586,541718593309
"156516";8766;58;"G";100;0,943820224719101;0,9812734082397;1;0,917602996254682;0,902621722846442;1;0;0;1800;"G";70;"232-2";1;693,238944510123
"304400";562;62;"G";90;0,943820224719101;0,925093632958802;1;0,98501872659176;0,902621722846442;0;0;0;2000;"G";100;"1116-1";1;573,925748754644
"137452";8666;60;"G";100;0,947565543071161;0,958801498127341;1;0,917602996254682;0,902621722846442;0;0;0;1800;"G";50;"232-2";1;693,238944510123
"489174";8666;63;"G";80;0,947565543071161;0,906367041198502;1;1;0,902621722846442;0;0;0;1800;"G";50;"232-2";1;693,238944510123
"438675";2948;58;"P";80;0,947565543071161;0,9812734082397;0,943820224719101;1;0,902621722846442;0;0;0;2200;"G";100;"151-1";1;591,771784844135
"128541";10093;61;"G";100;0,951310861423221;0,943820224719101;1;0,917602996254682;0,902621722846442;0;1;0;2400;"G";60;"250-1";1;737,268282728162
"266522";752;56;"P";90;0,951310861423221;0,99625468164794;0,943820224719101;0,98501872659176;0,902621722846442;0;0;0;1600;"G";50;"1265-1";1;726,119853319977
"480263";10093;65;"G";80;0,951310861423221;0,902621722846442;1;1;0,902621722846442;0;0;0;2400;"G";60;"250-1";1;737,268282728162
"247482";694;58;"P";90;0,973782771535581;0,9812734082397;0,943820224719101;0,98501872659176;0,902621722846442;0;0;0;1500;"G";100;"1144-1";1;564,252274556564
"237818";473;59;"P";90;0,99625468164794;0,966292134831461;0,943820224719101;0,98501872659176;0,906367041198502;0;0;0;2300;"G";80;"1116-1";1;567,784170185825
"418432";473;60;"P";80;0,99625468164794;0,958801498127341;0,943820224719101;1;0,902621722846442;0;0;0;2300;"G";80;"1116-1";1;595,611533533829
