"";"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"select_av";"select_all";"select_t10";"TOTALWEIGHT";"BREAKCLASS";"VMAX";"TFZ";"NUM_TFZ";"T10"
"118117";473;56;"G";80;0,904522613065327;0,994974874371859;1;1;0,904522613065327;0;0;0;2300;"G";80;"1116-1";1;619,421057343352
"52369";2156;56;"G";90;0,909547738693467;0,994974874371859;1;0,969849246231156;0,904522613065327;1;0;0;2000;"G";90;"145-2";1;591,990602075961
"110641";14;58;"G";80;0,924623115577889;0,974874371859296;1;1;0,904522613065327;0;0;1;1800;"G";30;"1016-1";1;591,166971571777
"44645";1119;58;"G";90;0,92964824120603;0,974874371859296;1;0,969849246231156;0,904522613065327;0;0;0;1600;"G";90;"139-1";1;611,557952214065
"98899";8369;62;"G";80;0,92964824120603;0,954773869346734;1;1;0,904522613065327;0;0;0;1800;"G";40;"232-1";1;749,725090993696
"37271";1121;60;"G";90;0,939698492462312;0,964824120603015;1;0,969849246231156;0,904522613065327;0;0;0;1800;"G";90;"139-1";1;648,952704792396
"23281";3334;63;"G";90;0,949748743718593;0,949748743718593;1;0,969849246231156;0,904522613065327;0;1;0;3000;"G";90;"152-2";1;652,981820712346
"15146";1124;64;"G";90;0,959798994974874;0,939698492462312;1;0,969849246231156;0,904522613065327;0;0;0;2100;"G";90;"139-1";1;683,340761343435
"73769";240;65;"G";80;0,964824120603015;0,934673366834171;1;1;0,904522613065327;0;0;0;2000;"G";30;"1116-1";1;602,111609268343
"8120";2163;65;"G";90;0,969849246231156;0,934673366834171;1;0,969849246231156;0,909547738693467;0;0;0;2700;"G";90;"145-2";1;660,453679464738
"66399";246;66;"G";80;0,994974874371859;0,904522613065327;1;1;0,904522613065327;0;0;0;2600;"G";30;"1116-1";1;637,924200103047
