"";"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"select_av";"select_all";"select_t10";"TOTALWEIGHT";"BREAKCLASS";"VMAX";"TFZ";"NUM_TFZ";"T10"
"30831";291;52;"G";80;0,907692307692308;1;1;1;0,907692307692308;1;0;0;2500;"G";40;"1116-1";1;631,614261311566
"14011";244;52;"G";90;0,923076923076923;1;1;0,984615384615385;0,907692307692308;0;0;0;2400;"G";30;"1116-1";1;601,827940919128
"22417";244;52;"P";80;0,923076923076923;1;0,984615384615385;1;0,907692307692308;0;0;0;2400;"G";30;"1116-1";1;601,639079511881
"5606";245;52;"P";90;0,938461538461538;1;0,984615384615385;0,984615384615385;0,907692307692308;0;0;1;2500;"G";30;"1116-1";1;582,50827878747
"28022";245;53;"G";80;0,938461538461538;0,953846153846154;1;1;0,907692307692308;0;1;0;2500;"G";30;"1116-1";1;631,614261311566
"11235";865;53;"G";90;0,953846153846154;0,953846153846154;1;0,984615384615385;0,907692307692308;0;0;0;1500;"G";30;"1293-2";1;1004,91418127146
"25245";865;54;"G";80;0,953846153846154;0,938461538461538;1;1;0,907692307692308;0;0;0;1500;"G";30;"1293-2";1;1004,91418127146
"19641";865;53;"P";80;0,953846153846154;0,953846153846154;0,984615384615385;1;0,907692307692308;0;0;0;1500;"G";30;"1293-2";1;993,009419366702
"8436";868;54;"G";90;0,969230769230769;0,938461538461538;1;0,984615384615385;0,907692307692308;0;0;0;1800;"G";30;"1293-2";1;1026,50193491488
"2832";868;53;"P";90;0,969230769230769;0,953846153846154;0,984615384615385;0,984615384615385;0,907692307692308;0;0;0;1800;"G";30;"1293-2";1;1014,59717301012
"16842";868;54;"P";80;0,969230769230769;0,938461538461538;0,984615384615385;1;0,907692307692308;0;0;0;1800;"G";30;"1293-2";1;1014,59717301012
"399";4553;54;"P";90;1;0,938461538461538;0,984615384615385;0,984615384615385;0,907692307692308;0;0;0;2300;"G";30;"180-1";1;701,130640975191
