"X";"TRAINRUN";"TFZ";"NUM_TFZ";"VMAX";"TOTALLENGTH";"TOTALWEIGHT";"BREAKCLASS";"BrH";"LZB";"ELECTRIC";"TRAINCLASS";"T10km";"T10SYS";"STABFQ";"NAME"
1;1012;"182-2";1;120;720;1616;"P";78;TRUE;1;"FGz";493,42282829846;502,506316794503;1,0184091371033;"G2"
2;41802;"185-2";1;100;609;1685;"P";78;TRUE;1;"FGz";503,276651688776;502,506316794503;1;"G2"
3;41811;"185-2";1;110;609;1585;"P";78;TRUE;1;"FGz";495,696113394367;502,506316794503;1,01373866612248;"G2"
4;41816;"185-2";1;100;609;1685;"P";78;TRUE;1;"FGz";503,276651688776;502,506316794503;1;"G2"
5;42179;"185-2";1;100;559;1625;"P";67;TRUE;1;"FGz";498,696143194552;502,506316794503;1,00764027083816;"G2"
6;43108;"189-2";1;90;619;1786;"G";78;TRUE;1;"FGz";554,725353649197;554,725353649197;1;"no"
7;43109;"189-2";1;90;619;1786;"G";78;TRUE;1;"FGz";554,725353649197;554,725353649197;1;"no"
8;43221;"151-1";1;100;559;1653;"P";67;TRUE;1;"FGz";499,760234745063;572,139409070616;1,14482779799892;"s90"
9;43940;"182-1";1;100;669;1686;"P";75;FALSE;1;"FGz";498,345514673602;502,506316794503;1,00834923160415;"G2"
10;43944;"189-2";1;100;639;1686;"P";92;TRUE;1;"FGz";498,07686857548;502,506316794503;1,00889310164451;"G2"
11;43945;"189-2";1;100;639;1686;"P";92;FALSE;1;"FGz";498,07686857548;502,506316794503;1,00889310164451;"G2"
12;43986;"185-2";1;80;619;1085;"P";58;TRUE;1;"NGz";528,506372008478;528,506372008478;1;"no"
13;48924;"185-2";1;100;609;1085;"P";66;FALSE;1;"FGz";461,23418752578;502,506316794503;1,08948193864406;"G2"
14;48929;"185-2";1;100;609;885;"P";78;FALSE;1;"FGz";448,755855467238;502,506316794503;1,11977662390901;"G2"
15;50000;"152-3";2;140;738;1574;"P";90;TRUE;1;"FGz";441,517993170448;502,506316794503;1,13813326878506;"G2"
16;50001;"152-3";2;140;738;1569;"P";90;TRUE;1;"FGz";441,375705888856;502,506316794503;1,13850017137337;"G2"
17;50030;"152-3";1;120;699;1287;"P";90;TRUE;1;"FGz";471,727283388798;502,506316794503;1,06524751586254;"G2"
18;50031;"152-3";1;140;699;1482;"P";85;TRUE;1;"FGz";484,499134212198;502,506316794503;1,03716659393331;"G2"
19;50033;"152-3";1;120;719;1482;"P";82;TRUE;1;"FGz";484,499134212198;502,506316794503;1,03716659393331;"G2"
20;50035;"152-3";1;140;719;1482;"P";79;TRUE;1;"FGz";484,499134212198;502,506316794503;1,03716659393331;"G2"
21;50036;"152-3";1;140;719;1487;"P";82;TRUE;1;"FGz";484,834961166279;502,506316794503;1,03644818761773;"G2"
22;50085;"152-3";1;100;699;1622;"P";78;TRUE;1;"FGz";494,069950523591;502,506316794503;1,01707524665682;"G2"
23;50109;"152-3";1;100;719;1622;"P";78;FALSE;1;"FGz";494,069950523591;502,506316794503;1,01707524665682;"G2"
