"X";"TRAINRUN";"TFZ";"NUM_TFZ";"VMAX";"TOTALLENGTH";"TOTALWEIGHT";"BREAKCLASS";"BrH";"LZB";"ELECTRIC";"TRAINCLASS";"T10km";"T10SYS";"STABFQ";"NAME"
1;62036;"185-2";1;100;549;885;"P";80;TRUE;1;"NGz";448,755855467238;553,979947127541;1,23447959592805;"G3"
2;32852;"185-2";1;90;629;2885;"P";56;TRUE;1;"FGz";616,110372454474;682,444907837691;1,10766664277855;"s90"
3;32867;"155-1";1;100;619;1723;"P";56;FALSE;1;"Gz";518,721061789015;553,979947127541;1,06797272741716;"G3"
4;40738;"145-2";1;120;648;1680;"P";70;TRUE;1;"FGz";520,48741575077;682,444907837691;1,31116504873284;"s90"
5;41300;"189-2";1;120;629;1686;"P";70;TRUE;1;"NGz";498,07686857548;553,979947127541;1,11223785338987;"G3"
6;41301;"189-2";1;120;629;1686;"P";71;TRUE;1;"FGz";498,07686857548;553,979947127541;1,11223785338987;"G3"
7;41308;"189-2";1;120;629;1686;"P";70;TRUE;1;"NGz";498,07686857548;553,979947127541;1,11223785338987;"G3"
8;41311;"189-2";1;120;629;1686;"P";70;TRUE;1;"FGz";498,07686857548;553,979947127541;1,11223785338987;"G3"
9;41315;"189-2";1;120;629;1686;"P";71;TRUE;1;"FGz";498,07686857548;553,979947127541;1,11223785338987;"G3"
10;41316;"189-2";1;120;629;1686;"P";70;TRUE;1;"FGz";498,07686857548;553,979947127541;1,11223785338987;"G3"
11;41324;"189-2";1;120;629;1686;"P";70;TRUE;1;"NGz";498,07686857548;553,979947127541;1,11223785338987;"G3"
12;41330;"189-2";1;120;629;1686;"P";70;TRUE;1;"NGz";498,07686857548;553,979947127541;1,11223785338987;"G3"
13;41335;"189-2";1;120;629;1686;"P";71;TRUE;1;"FGz";498,07686857548;553,979947127541;1,11223785338987;"G3"
14;41369;"145-2";1;120;278;600;"P";69;TRUE;1;"FGz";434,724638683447;553,979947127541;1,27432378529373;"G3"
15;41378;"145-2";1;120;628;1380;"P";70;TRUE;1;"FGz";491,490930467792;553,979947127541;1,1271417492898;"G3"
16;41388;"189-2";1;120;629;1686;"P";70;TRUE;1;"FGz";498,07686857548;553,979947127541;1,11223785338987;"G3"
17;42335;"185-2";1;100;629;2085;"G";90;TRUE;1;"GzG";566,61520517465;682,444907837691;1,20442392227603;"s90"
18;42460;"189-2";1;120;619;1486;"P";70;FALSE;1;"FGz";484,324566212344;553,979947127541;1,14381963207016;"G3"
19;42461;"189-2";1;120;619;1486;"P";70;TRUE;1;"FGz";484,324566212344;553,979947127541;1,14381963207016;"G3"
20;42470;"189-2";1;120;619;1486;"P";70;FALSE;1;"FGz";484,324566212344;553,979947127541;1,14381963207016;"G3"
21;42475;"189-2";1;120;619;1486;"P";70;TRUE;1;"FGz";484,324566212344;553,979947127541;1,14381963207016;"G3"
22;50055;"152-3";1;100;719;1687;"P";70;TRUE;1;"FGz";498,636400655582;553,979947127541;1,11098978413769;"G3"
23;50056;"152-3";1;120;719;1887;"G";79;TRUE;1;"GzG";542,979544343935;682,444907837691;1,25685196605752;"s90"
24;50066;"152-3";1;100;619;1887;"G";70;TRUE;1;"FGz";542,979544343935;682,444907837691;1,25685196605752;"s90"
25;50073;"152-3";1;100;619;1687;"P";70;TRUE;1;"FGz";498,636400655582;553,979947127541;1,11098978413769;"G3"
26;50330;"140-1";1;100;716;1083;"P";67;FALSE;1;"FGz";498,70322654285;553,979947127541;1,11084091227539;"G3"
27;51001;"155-1";1;100;619;1723;"P";65;FALSE;1;"FGz";518,721061789015;553,979947127541;1,06797272741716;"G3"
28;51405;"155-1";1;100;657;1723;"P";70;TRUE;1;"FGz";518,721061789015;553,979947127541;1,06797272741716;"G3"
29;51409;"155-1";1;100;684;1723;"P";68;TRUE;1;"FGz";518,721061789015;553,979947127541;1,06797272741716;"G3"
30;51411;"155-1";1;100;684;1723;"P";68;TRUE;1;"FGz";518,721061789015;553,979947127541;1,06797272741716;"G3"
31;51460;"155-1";1;100;719;1723;"P";68;FALSE;1;"FGz";518,721061789015;553,979947127541;1,06797272741716;"G3"
32;51466;"155-1";1;100;701;1723;"P";68;FALSE;1;"FGz";518,721061789015;553,979947127541;1,06797272741716;"G3"
33;51468;"155-1";1;100;719;1723;"P";68;FALSE;1;"FGz";518,721061789015;553,979947127541;1,06797272741716;"G3"
34;60221;"185-2";2;90;618;4060;"P";57;FALSE;1;"FGz";547,316556342288;553,979947127541;1,01217465597932;"G3"
35;60222;"185-2";1;120;619;1405;"P";87;FALSE;1;"FGz";482,68152844012;553,979947127541;1,14771317004368;"G3"
36;60224;"185-2";1;120;619;1405;"P";87;FALSE;1;"FGz";482,68152844012;553,979947127541;1,14771317004368;"G3"
37;60225;"185-2";2;90;618;4060;"P";57;FALSE;1;"FGz";547,316556342288;553,979947127541;1,01217465597932;"G3"
38;60227;"185-2";2;90;618;4060;"P";57;FALSE;1;"FGz";547,316556342288;553,979947127541;1,01217465597932;"G3"
39;60228;"185-2";1;120;619;1405;"P";87;FALSE;1;"FGz";482,68152844012;553,979947127541;1,14771317004368;"G3"
40;60641;"155-1";1;100;499;823;"P";80;FALSE;1;"FGz";448,149852550641;553,979947127541;1,23614889969185;"G3"
41;60775;"295-1";1;80;614;1479;"P";64;FALSE;0;"FGz";1012,37115678078;1012,37115678078;1;"no"
42;60843;"155-1";1;100;619;923;"P";70;FALSE;1;"FGz";454,805151420173;553,979947127541;1,21805996567472;"G3"
43;60844;"152-3";1;90;619;2587;"P";65;FALSE;1;"NGz";583,693456986821;682,444907837691;1,16918375504953;"s90"
44;60847;"155-1";1;100;619;923;"P";70;FALSE;1;"FGz";454,805151420173;553,979947127541;1,21805996567472;"G3"
