"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"TOTALWEIGHT";"BREAKCLASS";"VMAX";"TFZ";"NUM_TFZ";"T10"
245;44;"G";90;0,917808219178082;1;1;0,904109589041096;0,904109589041096;2500;"G";30;"1116-1";1;1263,91440204493
246;44;"G";90;0,917808219178082;1;1;0,904109589041096;0,904109589041096;2600;"G";30;"1116-1";1;1265,89024221163
247;44;"G";90;0,917808219178082;1;1;0,904109589041096;0,904109589041096;2700;"G";30;"1116-1";1;1267,89417014847
268;44;"G";90;0,917808219178082;1;1;0,904109589041096;0,904109589041096;2500;"P";30;"1116-1";1;1263,91440204493
269;44;"G";90;0,917808219178082;1;1;0,904109589041096;0,904109589041096;2600;"P";30;"1116-1";1;1265,89024221163
270;44;"G";90;0,917808219178082;1;1;0,904109589041096;0,904109589041096;2700;"P";30;"1116-1";1;1267,89417014847
599;44;"G";90;0,917808219178082;1;1;0,904109589041096;0,904109589041096;1800;"G";30;"1144-1";1;1266,8239729259
606;44;"G";90;0,917808219178082;1;1;0,904109589041096;0,904109589041096;1800;"P";30;"1144-1";1;1266,8239729259
865;44;"G";90;1;1;1;0,904109589041096;0,904109589041096;1500;"G";30;"1293-2";1;1267,8654492917
866;44;"G";90;1;1;1;0,904109589041096;0,904109589041096;1600;"G";30;"1293-2";1;1271,51302849271
867;44;"G";90;1;1;1;0,904109589041096;0,904109589041096;1700;"G";30;"1293-2";1;1275,26664315033
868;44;"G";90;1;1;1;0,904109589041096;0,904109589041096;1800;"G";30;"1293-2";1;1279,13181805206
869;44;"G";90;1;1;1;0,904109589041096;0,904109589041096;1500;"P";30;"1293-2";1;1267,8654492917
870;44;"G";90;1;1;1;0,904109589041096;0,904109589041096;1600;"P";30;"1293-2";1;1271,51302849271
871;44;"G";90;1;1;1;0,904109589041096;0,904109589041096;1700;"P";30;"1293-2";1;1275,26664315033
872;44;"G";90;1;1;1;0,904109589041096;0,904109589041096;1800;"P";30;"1293-2";1;1279,13181805206
873;44;"G";90;1;1;1;0,904109589041096;0,904109589041096;1500;"G";40;"1293-2";1;1004,91418127146
874;44;"G";90;1;1;1;0,904109589041096;0,904109589041096;1600;"G";40;"1293-2";1;1011,69484583652
875;44;"G";90;1;1;1;0,904109589041096;0,904109589041096;1700;"G";40;"1293-2";1;1018,87027029631
876;44;"G";90;1;1;1;0,904109589041096;0,904109589041096;1800;"G";40;"1293-2";1;1026,50193491488
877;44;"G";90;1;1;1;0,904109589041096;0,904109589041096;1500;"P";40;"1293-2";1;1004,91418127146
878;44;"G";90;1;1;1;0,904109589041096;0,904109589041096;1600;"P";40;"1293-2";1;1011,69484583652
879;44;"G";90;1;1;1;0,904109589041096;0,904109589041096;1700;"P";40;"1293-2";1;1018,87027029631
880;44;"G";90;1;1;1;0,904109589041096;0,904109589041096;1800;"P";40;"1293-2";1;1026,50193491488
881;44;"G";90;1;1;1;0,904109589041096;0,904109589041096;1500;"G";50;"1293-2";1;1004,91418127146
882;44;"G";90;1;1;1;0,904109589041096;0,904109589041096;1600;"G";50;"1293-2";1;921,334459946183
883;44;"G";90;1;1;1;0,904109589041096;0,904109589041096;1700;"G";50;"1293-2";1;943,177170402928
884;44;"G";90;1;1;1;0,904109589041096;0,904109589041096;1800;"G";50;"1293-2";1;1026,50193491488
885;44;"G";90;1;1;1;0,904109589041096;0,904109589041096;1500;"P";50;"1293-2";1;1004,91418127146
886;44;"G";90;1;1;1;0,904109589041096;0,904109589041096;1600;"P";50;"1293-2";1;921,334459946183
887;44;"G";90;1;1;1;0,904109589041096;0,904109589041096;1700;"P";50;"1293-2";1;943,177170402928
888;44;"G";90;1;1;1;0,904109589041096;0,904109589041096;1800;"P";50;"1293-2";1;1026,50193491488
889;44;"G";90;1;1;1;0,904109589041096;0,904109589041096;1500;"G";60;"1293-2";1;1004,91418127146
890;44;"G";90;1;1;1;0,904109589041096;0,904109589041096;1600;"G";60;"1293-2";1;921,334459946183
891;44;"G";90;1;1;1;0,904109589041096;0,904109589041096;1700;"G";60;"1293-2";1;943,177170402928
892;44;"G";90;1;1;1;0,904109589041096;0,904109589041096;1800;"G";60;"1293-2";1;1026,50193491488
893;44;"G";90;1;1;1;0,904109589041096;0,904109589041096;1500;"P";60;"1293-2";1;1004,91418127146
894;44;"G";90;1;1;1;0,904109589041096;0,904109589041096;1600;"P";60;"1293-2";1;921,334459946183
895;44;"G";90;1;1;1;0,904109589041096;0,904109589041096;1700;"P";60;"1293-2";1;943,177170402928
896;44;"G";90;1;1;1;0,904109589041096;0,904109589041096;1800;"P";60;"1293-2";1;1026,50193491488
897;44;"G";90;1;1;1;0,904109589041096;0,904109589041096;1500;"G";70;"1293-2";1;1004,91418127146
898;44;"G";90;1;1;1;0,904109589041096;0,904109589041096;1600;"G";70;"1293-2";1;921,334459946183
899;44;"G";90;1;1;1;0,904109589041096;0,904109589041096;1700;"G";70;"1293-2";1;943,177170402928
900;44;"G";90;1;1;1;0,904109589041096;0,904109589041096;1800;"G";70;"1293-2";1;1026,50193491488
901;44;"G";90;1;1;1;0,904109589041096;0,904109589041096;1500;"P";70;"1293-2";1;1004,91418127146
902;44;"G";90;1;1;1;0,904109589041096;0,904109589041096;1600;"P";70;"1293-2";1;921,334459946183
903;44;"G";90;1;1;1;0,904109589041096;0,904109589041096;1700;"P";70;"1293-2";1;943,177170402928
904;44;"G";90;1;1;1;0,904109589041096;0,904109589041096;1800;"P";70;"1293-2";1;1026,50193491488
917;44;"G";90;0,945205479452055;1;1;0,904109589041096;0,904109589041096;1800;"G";30;"139-1";1;1261,64595644566
918;44;"G";90;0,945205479452055;1;1;0,904109589041096;0,904109589041096;1900;"G";30;"139-1";1;1264,18346023481
919;44;"G";90;0,958904109589041;1;1;0,904109589041096;0,904109589041096;2000;"G";30;"139-1";1;1266,76844370458
