"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"TOTALWEIGHT";"BREAKCLASS";"VMAX";"TFZ";"NUM_TFZ";"T10"
244;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2400;"G";30;"1116-1";1;1264,65124465053
245;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2500;"G";30;"1116-1";1;1266,59958723011
246;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2600;"G";30;"1116-1";1;1268,57542739681
247;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2700;"G";30;"1116-1";1;1270,57935533366
267;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2400;"P";30;"1116-1";1;1254,57187957117
268;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2500;"P";30;"1116-1";1;1256,52022215075
269;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2600;"P";30;"1116-1";1;1258,49606231745
270;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2700;"P";30;"1116-1";1;1260,49999025429
290;56;"G";90;0,952941176470588;0,976470588235294;1;0,929411764705882;0,905882352941176;2400;"G";40;"1116-1";1;985,983566038371
291;56;"G";90;0,952941176470588;0,976470588235294;1;0,929411764705882;0,905882352941176;2500;"G";40;"1116-1";1;988,634543022323
292;56;"G";90;0,964705882352941;0,976470588235294;1;0,929411764705882;0,905882352941176;2600;"G";40;"1116-1";1;991,32509122134
293;56;"G";90;0,964705882352941;0,976470588235294;1;0,929411764705882;0,905882352941176;2700;"G";40;"1116-1";1;994,056121078232
313;56;"G";90;0,952941176470588;0,976470588235294;1;0,929411764705882;0,905882352941176;2400;"P";40;"1116-1";1;972,918089847895
314;56;"G";90;0,952941176470588;0,976470588235294;1;0,929411764705882;0,905882352941176;2500;"P";40;"1116-1";1;975,569066831846
315;56;"G";90;0,964705882352941;0,976470588235294;1;0,929411764705882;0,905882352941176;2600;"P";40;"1116-1";1;978,259615030864
316;56;"G";90;0,964705882352941;0,976470588235294;1;0,929411764705882;0,905882352941176;2700;"P";40;"1116-1";1;980,990644887756
598;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;1700;"G";30;"1144-1";1;1266,64651204732
599;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;1800;"G";30;"1144-1";1;1269,50915811109
605;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;1700;"P";30;"1144-1";1;1256,56714696796
606;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;1800;"P";30;"1144-1";1;1259,42979303172
612;56;"G";90;0,952941176470588;0,976470588235294;1;0,929411764705882;0,905882352941176;1700;"G";40;"1144-1";1;988,453496976841
613;56;"G";90;0,964705882352941;0,976470588235294;1;0,929411764705882;0,905882352941176;1800;"G";40;"1144-1";1;992,332315520232
619;56;"G";90;0,952941176470588;0,976470588235294;1;0,929411764705882;0,905882352941176;1700;"P";40;"1144-1";1;975,388020786365
620;56;"G";90;0,964705882352941;0,976470588235294;1;0,929411764705882;0,905882352941176;1800;"P";40;"1144-1";1;979,266839329756
866;56;"G";90;0,988235294117647;0,976470588235294;1;0,929411764705882;0,917647058823529;1600;"G";30;"1293-2";1;1916,18662961603
867;56;"G";90;0,988235294117647;0,976470588235294;1;0,929411764705882;0,917647058823529;1700;"G";30;"1293-2";1;2032,53408698214
868;56;"G";90;1;0,976470588235294;1;0,929411764705882;0,929411764705882;1800;"G";30;"1293-2";1;2348,49497326488
870;56;"G";90;0,988235294117647;0,976470588235294;1;0,929411764705882;0,917647058823529;1600;"P";30;"1293-2";1;1908,53590425779
871;56;"G";90;0,988235294117647;0,976470588235294;1;0,929411764705882;0,917647058823529;1700;"P";30;"1293-2";1;2026,35411499334
872;56;"G";90;1;0,976470588235294;1;0,929411764705882;0,929411764705882;1800;"P";30;"1293-2";1;2343,22286442135
874;56;"G";90;0,988235294117647;0,976470588235294;1;0,929411764705882;0,917647058823529;1600;"G";40;"1293-2";1;1901,91288112818
875;56;"G";90;0,988235294117647;0,976470588235294;1;0,929411764705882;0,917647058823529;1700;"G";40;"1293-2";1;2014,3372056541
876;56;"G";90;1;0,976470588235294;1;0,929411764705882;0,929411764705882;1800;"G";40;"1293-2";1;2332,5745001801
878;56;"G";90;0,988235294117647;0,976470588235294;1;0,929411764705882;0,917647058823529;1600;"P";40;"1293-2";1;1895,99678900049
879;56;"G";90;0,988235294117647;0,976470588235294;1;0,929411764705882;0,917647058823529;1700;"P";40;"1293-2";1;2008,15723366531
880;56;"G";90;1;0,976470588235294;1;0,929411764705882;0,929411764705882;1800;"P";40;"1293-2";1;2327,30239133657
