"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"TOTALWEIGHT";"BREAKCLASS";"TFZ";"NUM_TFZ";"T10"
258;52;"G";80;0,962962962962963;0,944444444444444;1;0,981481481481482;0,907407407407407;2600;"G";"145-2";1;705,900420435657
259;52;"G";80;0,962962962962963;0,944444444444444;1;0,981481481481482;0,907407407407407;2700;"G";"145-2";1;736,758218235227
281;52;"G";80;0,962962962962963;0,944444444444444;1;0,981481481481482;0,907407407407407;2600;"P";"145-2";1;705,900420435657
282;52;"G";80;0,962962962962963;0,944444444444444;1;0,981481481481482;0,907407407407407;2700;"P";"145-2";1;736,758218235227
1432;52;"G";80;0,981481481481482;0,944444444444444;1;0,981481481481482;0,907407407407407;3200;"G";"264-1";1;893,02756852517
1463;52;"G";80;0,981481481481482;0,944444444444444;1;0,981481481481482;0,907407407407407;3200;"P";"264-1";1;893,02756852517
1530;52;"G";80;0,981481481481482;0,944444444444444;1;0,981481481481482;0,907407407407407;2200;"G";"285-2";1;870,444529404569
1531;52;"G";80;0,981481481481482;0,944444444444444;1;0,981481481481482;0,907407407407407;2300;"G";"285-2";1;900,374323309766
1553;52;"G";80;0,981481481481482;0,944444444444444;1;0,981481481481482;0,907407407407407;2200;"P";"285-2";1;870,444529404569
1554;52;"G";80;0,981481481481482;0,944444444444444;1;0,981481481481482;0,907407407407407;2300;"P";"285-2";1;900,374323309766
2134;52;"G";80;0,981481481481482;0,944444444444444;1;0,981481481481482;0,907407407407407;1800;"G";"ER 20D-2";1;838,759889014436
2135;52;"G";80;0,981481481481482;0,944444444444444;1;0,981481481481482;0,907407407407407;1900;"G";"ER 20D-2";1;867,675546412313
2136;52;"G";80;0,981481481481482;0,944444444444444;1;0,981481481481482;0,907407407407407;2000;"G";"ER 20D-2";1;915,962265662011
2151;52;"G";80;0,981481481481482;0,944444444444444;1;0,981481481481482;0,907407407407407;1800;"P";"ER 20D-2";1;838,759889014436
2152;52;"G";80;0,981481481481482;0,944444444444444;1;0,981481481481482;0,907407407407407;1900;"P";"ER 20D-2";1;867,675546412313
2153;52;"G";80;0,981481481481482;0,944444444444444;1;0,981481481481482;0,907407407407407;2000;"P";"ER 20D-2";1;915,962265662011
257;47;"G";80;0,944444444444444;0,962962962962963;1;0,981481481481482;0,907407407407407;2500;"G";"145-2";1;680,538293946535
258;47;"G";80;0,962962962962963;0,962962962962963;1;0,981481481481482;0,925925925925926;2600;"G";"145-2";1;705,900420435657
259;47;"G";80;0,962962962962963;0,962962962962963;1;0,981481481481482;0,925925925925926;2700;"G";"145-2";1;736,758218235227
280;47;"G";80;0,944444444444444;0,962962962962963;1;0,981481481481482;0,907407407407407;2500;"P";"145-2";1;680,538293946535
281;47;"G";80;0,962962962962963;0,962962962962963;1;0,981481481481482;0,925925925925926;2600;"P";"145-2";1;705,900420435657
282;47;"G";80;0,962962962962963;0,962962962962963;1;0,981481481481482;0,925925925925926;2700;"P";"145-2";1;736,758218235227
496;47;"G";80;0,944444444444444;0,962962962962963;1;0,981481481481482;0,907407407407407;2600;"G";"155-1";1;752,082060793914
497;47;"G";80;0,944444444444444;0,962962962962963;1;0,981481481481482;0,907407407407407;2700;"G";"155-1";1;782,466605472905
498;47;"G";80;0,944444444444444;0,962962962962963;1;0,981481481481482;0,907407407407407;2800;"G";"155-1";1;819,609668589612
524;47;"G";80;0,944444444444444;0,962962962962963;1;0,981481481481482;0,907407407407407;2600;"P";"155-1";1;752,082060793914
525;47;"G";80;0,944444444444444;0,962962962962963;1;0,981481481481482;0,907407407407407;2700;"P";"155-1";1;782,466605472905
526;47;"G";80;0,944444444444444;0,962962962962963;1;0,981481481481482;0,907407407407407;2800;"P";"155-1";1;819,609668589612
582;47;"G";80;0,944444444444444;0,962962962962963;1;0,981481481481482;0,907407407407407;1800;"G";"180-1";1;786,579493951811
602;47;"G";80;0,944444444444444;0,962962962962963;1;0,981481481481482;0,907407407407407;1800;"P";"180-1";1;786,579493951811
903;47;"G";80;0,962962962962963;0,962962962962963;1;0,981481481481482;0,907407407407407;1100;"G";"203-1";1;758,841413501269
904;47;"G";80;0,962962962962963;0,962962962962963;1;0,981481481481482;0,907407407407407;1200;"G";"203-1";1;804,748278856866
905;47;"G";80;0,962962962962963;0,962962962962963;1;0,981481481481482;0,907407407407407;1300;"G";"203-1";1;862,916691385991
919;47;"G";80;0,962962962962963;0,962962962962963;1;0,981481481481482;0,907407407407407;1100;"P";"203-1";1;758,841413501269
920;47;"G";80;0,962962962962963;0,962962962962963;1;0,981481481481482;0,907407407407407;1200;"P";"203-1";1;804,748278856866
921;47;"G";80;0,962962962962963;0,962962962962963;1;0,981481481481482;0,907407407407407;1300;"P";"203-1";1;862,916691385991
1091;47;"G";80;0,962962962962963;0,962962962962963;1;0,981481481481482;0,907407407407407;2100;"G";"232-2";1;869,559024385108
1092;47;"G";80;0,962962962962963;0,962962962962963;1;0,981481481481482;0,907407407407407;2200;"G";"232-2";1;903,408658479429
1116;47;"G";80;0,962962962962963;0,962962962962963;1;0,981481481481482;0,907407407407407;2100;"P";"232-2";1;869,559024385108
1117;47;"G";80;0,962962962962963;0,962962962962963;1;0,981481481481482;0,907407407407407;2200;"P";"232-2";1;903,408658479429
1171;47;"G";80;0,962962962962963;0,962962962962963;1;0,981481481481482;0,907407407407407;1800;"G";"246-1";1;866,624865962344
1190;47;"G";80;0,962962962962963;0,962962962962963;1;0,981481481481482;0,907407407407407;1800;"P";"246-1";1;866,624865962344
1427;47;"G";80;0,962962962962963;0,962962962962963;1;0,981481481481482;0,907407407407407;2700;"G";"264-1";1;779,241054772937
1428;47;"G";80;0,962962962962963;0,962962962962963;1;0,981481481481482;0,907407407407407;2800;"G";"264-1";1;790,148372954639
1429;47;"G";80;0,962962962962963;0,962962962962963;1;0,981481481481482;0,907407407407407;2900;"G";"264-1";1;825,476116517219
1430;47;"G";80;0,962962962962963;0,962962962962963;1;0,981481481481482;0,907407407407407;3000;"G";"264-1";1;842,933062178326
1431;47;"G";80;0,962962962962963;0,962962962962963;1;0,981481481481482;0,907407407407407;3100;"G";"264-1";1;865,098642474435
1432;47;"G";80;0,981481481481482;0,962962962962963;1;0,981481481481482;0,925925925925926;3200;"G";"264-1";1;893,02756852517
1458;47;"G";80;0,962962962962963;0,962962962962963;1;0,981481481481482;0,907407407407407;2700;"P";"264-1";1;779,241054772937
1459;47;"G";80;0,962962962962963;0,962962962962963;1;0,981481481481482;0,907407407407407;2800;"P";"264-1";1;790,148372954639
1460;47;"G";80;0,962962962962963;0,962962962962963;1;0,981481481481482;0,907407407407407;2900;"P";"264-1";1;825,476116517219
1461;47;"G";80;0,962962962962963;0,962962962962963;1;0,981481481481482;0,907407407407407;3000;"P";"264-1";1;842,933062178326
1462;47;"G";80;0,962962962962963;0,962962962962963;1;0,981481481481482;0,907407407407407;3100;"P";"264-1";1;865,098642474435
1463;47;"G";80;0,981481481481482;0,962962962962963;1;0,981481481481482;0,925925925925926;3200;"P";"264-1";1;893,02756852517
1526;47;"G";80;0,962962962962963;0,962962962962963;1;0,981481481481482;0,907407407407407;1800;"G";"285-2";1;755,167239132962
1527;47;"G";80;0,962962962962963;0,962962962962963;1;0,981481481481482;0,907407407407407;1900;"G";"285-2";1;786,781978311494
1528;47;"G";80;0,962962962962963;0,962962962962963;1;0,981481481481482;0,907407407407407;2000;"G";"285-2";1;819,072890953236
1529;47;"G";80;0,962962962962963;0,962962962962963;1;0,981481481481482;0,907407407407407;2100;"G";"285-2";1;852,823600844389
1530;47;"G";80;0,981481481481482;0,962962962962963;1;0,981481481481482;0,925925925925926;2200;"G";"285-2";1;870,444529404569
1531;47;"G";80;0,981481481481482;0,962962962962963;1;0,981481481481482;0,925925925925926;2300;"G";"285-2";1;900,374323309766
1549;47;"G";80;0,962962962962963;0,962962962962963;1;0,981481481481482;0,907407407407407;1800;"P";"285-2";1;755,167239132962
