"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"TOTALWEIGHT";"BREAKCLASS";"TFZ";"NUM_TFZ";"T10"
50;60;"G";90;1;0,945205479452055;1;0,958904109589041;0,917808219178082;2600;"G";"1116-1";1;671,427161794207
51;60;"G";90;1;0,945205479452055;1;0,958904109589041;0,917808219178082;2700;"G";"1116-1";1;700,191143785847
73;60;"G";90;1;0,945205479452055;1;0,958904109589041;0,917808219178082;2600;"P";"1116-1";1;671,427161794207
74;60;"G";90;1;0,945205479452055;1;0,958904109589041;0,917808219178082;2700;"P";"1116-1";1;700,191143785847
78;60;"G";90;0,972602739726027;0,945205479452055;1;0,958904109589041;0,904109589041096;1500;"G";"1144-1";1;600,601929715782
79;60;"G";90;0,972602739726027;0,945205479452055;1;0,958904109589041;0,904109589041096;1600;"G";"1144-1";1;623,642785159074
80;60;"G";90;1;0,945205479452055;1;0,958904109589041;0,917808219178082;1700;"G";"1144-1";1;656,631092095655
81;60;"G";90;1;0,945205479452055;1;0,958904109589041;0,917808219178082;1800;"G";"1144-1";1;690,710014791837
85;60;"G";90;0,972602739726027;0,945205479452055;1;0,958904109589041;0,904109589041096;1500;"P";"1144-1";1;600,601929715782
86;60;"G";90;0,972602739726027;0,945205479452055;1;0,958904109589041;0,904109589041096;1600;"P";"1144-1";1;623,642785159074
87;60;"G";90;1;0,945205479452055;1;0,958904109589041;0,917808219178082;1700;"P";"1144-1";1;656,631092095655
88;60;"G";90;1;0,945205479452055;1;0,958904109589041;0,917808219178082;1800;"P";"1144-1";1;690,710014791837
129;60;"G";90;1;0,945205479452055;1;0,958904109589041;0,917808219178082;1800;"G";"139-1";1;737,955349431252
130;60;"G";90;1;0,945205479452055;1;0,958904109589041;0,917808219178082;1900;"G";"139-1";1;786,260801626734
146;60;"G";90;1;0,945205479452055;1;0,958904109589041;0,917808219178082;1800;"P";"139-1";1;737,955349431252
147;60;"G";90;1;0,945205479452055;1;0,958904109589041;0,917808219178082;1900;"P";"139-1";1;786,260801626734
164;60;"G";90;1;0,945205479452055;1;0,958904109589041;0,917808219178082;1800;"G";"140-1";1;731,419696452075
165;60;"G";90;1;0,945205479452055;1;0,958904109589041;0,917808219178082;1900;"G";"140-1";1;784,800234470127
184;60;"G";90;1;0,945205479452055;1;0,958904109589041;0,917808219178082;1800;"P";"140-1";1;731,419696452075
185;60;"G";90;1;0,945205479452055;1;0,958904109589041;0,917808219178082;1900;"P";"140-1";1;784,800234470127
254;60;"G";90;1;0,945205479452055;1;0,958904109589041;0,917808219178082;2200;"G";"145-2";1;635,975320874078
255;60;"G";90;1;0,945205479452055;1;0,958904109589041;0,917808219178082;2300;"G";"145-2";1;650,933509672457
256;60;"G";90;1;0,945205479452055;1;0,958904109589041;0,917808219178082;2400;"G";"145-2";1;667,477507576364
