"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"TOTALWEIGHT";"BREAKCLASS";"TFZ";"NUM_TFZ";"T10"
904;59;"P";90;0,994082840236686;0,964497041420118;0,93491124260355;0,988165680473373;0,905325443786982;1200;"G";"203-1";1;789,686052626849
905;59;"P";90;1;0,964497041420118;0,93491124260355;0,988165680473373;0,905325443786982;1300;"G";"203-1";1;849,597788067087
920;59;"P";90;0,994082840236686;0,964497041420118;0,93491124260355;0,988165680473373;0,905325443786982;1200;"P";"203-1";1;789,686052626849
921;59;"P";90;1;0,964497041420118;0,93491124260355;0,988165680473373;0,905325443786982;1300;"P";"203-1";1;849,597788067087
1092;59;"P";90;0,994082840236686;0,964497041420118;0,93491124260355;0,988165680473373;0,905325443786982;2200;"G";"232-2";1;890,328781367294
1117;59;"P";90;0,994082840236686;0,964497041420118;0,93491124260355;0,988165680473373;0,905325443786982;2200;"P";"232-2";1;890,328781367294
1429;59;"P";90;0,994082840236686;0,964497041420118;0,93491124260355;0,988165680473373;0,905325443786982;2900;"G";"264-1";1;811,798867839971
1430;59;"P";90;1;0,964497041420118;0,93491124260355;0,988165680473373;0,905325443786982;3000;"G";"264-1";1;829,375239049074
1431;59;"P";90;1;0,964497041420118;0,93491124260355;0,988165680473373;0,905325443786982;3100;"G";"264-1";1;851,228264522034
1432;59;"P";90;1;0,964497041420118;0,93491124260355;0,988165680473373;0,905325443786982;3200;"G";"264-1";1;879,118016169843
1460;59;"P";90;0,994082840236686;0,964497041420118;0,93491124260355;0,988165680473373;0,905325443786982;2900;"P";"264-1";1;811,798867839971
1461;59;"P";90;1;0,964497041420118;0,93491124260355;0,988165680473373;0,905325443786982;3000;"P";"264-1";1;829,375239049074
1462;59;"P";90;1;0,964497041420118;0,93491124260355;0,988165680473373;0,905325443786982;3100;"P";"264-1";1;851,228264522034
1463;59;"P";90;1;0,964497041420118;0,93491124260355;0,988165680473373;0,905325443786982;3200;"P";"264-1";1;879,118016169843
1527;59;"P";90;0,994082840236686;0,964497041420118;0,93491124260355;0,988165680473373;0,905325443786982;1900;"G";"285-2";1;771,61663439615
1528;59;"P";90;1;0,964497041420118;0,93491124260355;0,988165680473373;0,905325443786982;2000;"G";"285-2";1;805,395642275987
1529;59;"P";90;1;0,964497041420118;0,93491124260355;0,988165680473373;0,905325443786982;2100;"G";"285-2";1;839,504697525486
1530;59;"P";90;1;0,964497041420118;0,93491124260355;0,988165680473373;0,905325443786982;2200;"G";"285-2";1;857,125626085666
1531;59;"P";90;1;0,964497041420118;0,93491124260355;0,988165680473373;0,905325443786982;2300;"G";"285-2";1;887,174918547861
1550;59;"P";90;0,994082840236686;0,964497041420118;0,93491124260355;0,988165680473373;0,905325443786982;1900;"P";"285-2";1;771,61663439615
1551;59;"P";90;1;0,964497041420118;0,93491124260355;0,988165680473373;0,905325443786982;2000;"P";"285-2";1;805,395642275987
1552;59;"P";90;1;0,964497041420118;0,93491124260355;0,988165680473373;0,905325443786982;2100;"P";"285-2";1;839,504697525486
1553;59;"P";90;1;0,964497041420118;0,93491124260355;0,988165680473373;0,905325443786982;2200;"P";"285-2";1;857,125626085666
1554;59;"P";90;1;0,964497041420118;0,93491124260355;0,988165680473373;0,905325443786982;2300;"P";"285-2";1;887,174918547861
2134;59;"P";90;1;0,964497041420118;0,93491124260355;0,988165680473373;0,905325443786982;1800;"G";"ER 20D-2";1;825,321513664296
2135;59;"P";90;1;0,964497041420118;0,93491124260355;0,988165680473373;0,905325443786982;1900;"G";"ER 20D-2";1;853,805386444292
2136;59;"P";90;1;0,964497041420118;0,93491124260355;0,988165680473373;0,905325443786982;2000;"G";"ER 20D-2";1;903,001948201694
2151;59;"P";90;1;0,964497041420118;0,93491124260355;0,988165680473373;0,905325443786982;1800;"P";"ER 20D-2";1;825,321513664296
2152;59;"P";90;1;0,964497041420118;0,93491124260355;0,988165680473373;0,905325443786982;1900;"P";"ER 20D-2";1;853,805386444292
2153;59;"P";90;1;0,964497041420118;0,93491124260355;0,988165680473373;0,905325443786982;2000;"P";"ER 20D-2";1;903,001948201694
2403;59;"P";90;0,994082840236686;0,964497041420118;0,93491124260355;0,988165680473373;0,905325443786982;1500;"G";"G1700-2";1;858,845124317224
2404;59;"P";90;1;0,964497041420118;0,93491124260355;0,988165680473373;0,905325443786982;1600;"G";"G1700-2";1;914,958412291036
2407;59;"P";90;0,994082840236686;0,964497041420118;0,93491124260355;0,988165680473373;0,905325443786982;1500;"P";"G1700-2";1;858,845124317224
2408;59;"P";90;1;0,964497041420118;0,93491124260355;0,988165680473373;0,905325443786982;1600;"P";"G1700-2";1;914,958412291036
904;58;"P";90;0,994082840236686;0,970414201183432;0,93491124260355;0,988165680473373;0,905325443786982;1200;"G";"203-1";1;789,686052626849
905;58;"P";90;1;0,970414201183432;0,93491124260355;0,988165680473373;0,905325443786982;1300;"G";"203-1";1;849,597788067087
920;58;"P";90;0,994082840236686;0,970414201183432;0,93491124260355;0,988165680473373;0,905325443786982;1200;"P";"203-1";1;789,686052626849
921;58;"P";90;1;0,970414201183432;0,93491124260355;0,988165680473373;0,905325443786982;1300;"P";"203-1";1;849,597788067087
1092;58;"P";90;0,994082840236686;0,970414201183432;0,93491124260355;0,988165680473373;0,905325443786982;2200;"G";"232-2";1;890,328781367294
1117;58;"P";90;0,994082840236686;0,970414201183432;0,93491124260355;0,988165680473373;0,905325443786982;2200;"P";"232-2";1;890,328781367294
1429;58;"P";90;0,994082840236686;0,970414201183432;0,93491124260355;0,988165680473373;0,905325443786982;2900;"G";"264-1";1;811,798867839971
1430;58;"P";90;1;0,970414201183432;0,93491124260355;0,988165680473373;0,905325443786982;3000;"G";"264-1";1;829,375239049074
1431;58;"P";90;1;0,970414201183432;0,93491124260355;0,988165680473373;0,905325443786982;3100;"G";"264-1";1;851,228264522034
1432;58;"P";90;1;0,970414201183432;0,93491124260355;0,988165680473373;0,905325443786982;3200;"G";"264-1";1;879,118016169843
1460;58;"P";90;0,994082840236686;0,970414201183432;0,93491124260355;0,988165680473373;0,905325443786982;2900;"P";"264-1";1;811,798867839971
1461;58;"P";90;1;0,970414201183432;0,93491124260355;0,988165680473373;0,905325443786982;3000;"P";"264-1";1;829,375239049074
1462;58;"P";90;1;0,970414201183432;0,93491124260355;0,988165680473373;0,905325443786982;3100;"P";"264-1";1;851,228264522034
1463;58;"P";90;1;0,970414201183432;0,93491124260355;0,988165680473373;0,905325443786982;3200;"P";"264-1";1;879,118016169843
1527;58;"P";90;0,994082840236686;0,970414201183432;0,93491124260355;0,988165680473373;0,905325443786982;1900;"G";"285-2";1;771,61663439615
1528;58;"P";90;1;0,970414201183432;0,93491124260355;0,988165680473373;0,905325443786982;2000;"G";"285-2";1;805,395642275987
1529;58;"P";90;1;0,970414201183432;0,93491124260355;0,988165680473373;0,905325443786982;2100;"G";"285-2";1;839,504697525486
1530;58;"P";90;1;0,970414201183432;0,93491124260355;0,988165680473373;0,905325443786982;2200;"G";"285-2";1;857,125626085666
1531;58;"P";90;1;0,970414201183432;0,93491124260355;0,988165680473373;0,905325443786982;2300;"G";"285-2";1;887,174918547861
1550;58;"P";90;0,994082840236686;0,970414201183432;0,93491124260355;0,988165680473373;0,905325443786982;1900;"P";"285-2";1;771,61663439615
1551;58;"P";90;1;0,970414201183432;0,93491124260355;0,988165680473373;0,905325443786982;2000;"P";"285-2";1;805,395642275987
1552;58;"P";90;1;0,970414201183432;0,93491124260355;0,988165680473373;0,905325443786982;2100;"P";"285-2";1;839,504697525486
1553;58;"P";90;1;0,970414201183432;0,93491124260355;0,988165680473373;0,905325443786982;2200;"P";"285-2";1;857,125626085666
1554;58;"P";90;1;0,970414201183432;0,93491124260355;0,988165680473373;0,905325443786982;2300;"P";"285-2";1;887,174918547861
2134;58;"P";90;1;0,970414201183432;0,93491124260355;0,988165680473373;0,905325443786982;1800;"G";"ER 20D-2";1;825,321513664296
2135;58;"P";90;1;0,970414201183432;0,93491124260355;0,988165680473373;0,905325443786982;1900;"G";"ER 20D-2";1;853,805386444292
2136;58;"P";90;1;0,970414201183432;0,93491124260355;0,988165680473373;0,905325443786982;2000;"G";"ER 20D-2";1;903,001948201694
2151;58;"P";90;1;0,970414201183432;0,93491124260355;0,988165680473373;0,905325443786982;1800;"P";"ER 20D-2";1;825,321513664296
2152;58;"P";90;1;0,970414201183432;0,93491124260355;0,988165680473373;0,905325443786982;1900;"P";"ER 20D-2";1;853,805386444292
2153;58;"P";90;1;0,970414201183432;0,93491124260355;0,988165680473373;0,905325443786982;2000;"P";"ER 20D-2";1;903,001948201694
2403;58;"P";90;0,994082840236686;0,970414201183432;0,93491124260355;0,988165680473373;0,905325443786982;1500;"G";"G1700-2";1;858,845124317224
2404;58;"P";90;1;0,970414201183432;0,93491124260355;0,988165680473373;0,905325443786982;1600;"G";"G1700-2";1;914,958412291036
2407;58;"P";90;0,994082840236686;0,970414201183432;0,93491124260355;0,988165680473373;0,905325443786982;1500;"P";"G1700-2";1;858,845124317224
2408;58;"P";90;1;0,970414201183432;0,93491124260355;0,988165680473373;0,905325443786982;1600;"P";"G1700-2";1;914,958412291036
129;56;"P";90;0,988165680473373;0,988165680473373;0,93491124260355;0,988165680473373;0,905325443786982;1800;"G";"139-1";1;713,997631726787
130;56;"P";90;0,994082840236686;0,988165680473373;0,93491124260355;0,988165680473373;0,905325443786982;1900;"G";"139-1";1;769,48795735389
146;56;"P";90;0,988165680473373;0,988165680473373;0,93491124260355;0,988165680473373;0,905325443786982;1800;"P";"139-1";1;713,997631726787
147;56;"P";90;0,994082840236686;0,988165680473373;0,93491124260355;0,988165680473373;0,905325443786982;1900;"P";"139-1";1;769,48795735389
164;56;"P";90;0,982248520710059;0,988165680473373;0,93491124260355;0,988165680473373;0,905325443786982;1800;"G";"140-1";1;712,681310853934
165;56;"P";90;0,994082840236686;0,988165680473373;0,93491124260355;0,988165680473373;0,905325443786982;1900;"G";"140-1";1;768,027390197283
184;56;"P";90;0,982248520710059;0,988165680473373;0,93491124260355;0,988165680473373;0,905325443786982;1800;"P";"140-1";1;712,681310853934
185;56;"P";90;0,994082840236686;0,988165680473373;0,93491124260355;0,988165680473373;0,905325443786982;1900;"P";"140-1";1;768,027390197283
253;56;"P";90;0,982248520710059;0,988165680473373;0,93491124260355;0,988165680473373;0,905325443786982;2100;"G";"145-2";1;592,644135988739
254;56;"P";90;0,982248520710059;0,988165680473373;0,93491124260355;0,988165680473373;0,905325443786982;2200;"G";"145-2";1;616,817008426292
255;56;"P";90;0,988165680473373;0,988165680473373;0,93491124260355;0,988165680473373;0,905325443786982;2300;"G";"145-2";1;632,013596252544
256;56;"P";90;0,988165680473373;0,988165680473373;0,93491124260355;0,988165680473373;0,905325443786982;2400;"G";"145-2";1;648,796016111854
257;56;"P";90;0,994082840236686;0,988165680473373;0,93491124260355;0,988165680473373;0,905325443786982;2500;"G";"145-2";1;661,041051091388
258;56;"P";90;0,994082840236686;0,988165680473373;0,93491124260355;0,988165680473373;0,905325443786982;2600;"G";"145-2";1;687,576610911848
259;56;"P";90;0,994082840236686;0,988165680473373;0,93491124260355;0,988165680473373;0,905325443786982;2700;"G";"145-2";1;719,377265854274
276;56;"P";90;0,982248520710059;0,988165680473373;0,93491124260355;0,988165680473373;0,905325443786982;2100;"P";"145-2";1;592,644135988739
277;56;"P";90;0,982248520710059;0,988165680473373;0,93491124260355;0,988165680473373;0,905325443786982;2200;"P";"145-2";1;616,817008426292
278;56;"P";90;0,988165680473373;0,988165680473373;0,93491124260355;0,988165680473373;0,905325443786982;2300;"P";"145-2";1;632,013596252544
279;56;"P";90;0,988165680473373;0,988165680473373;0,93491124260355;0,988165680473373;0,905325443786982;2400;"P";"145-2";1;648,796016111854
280;56;"P";90;0,994082840236686;0,988165680473373;0,93491124260355;0,988165680473373;0,905325443786982;2500;"P";"145-2";1;661,041051091388
281;56;"P";90;0,994082840236686;0,988165680473373;0,93491124260355;0,988165680473373;0,905325443786982;2600;"P";"145-2";1;687,576610911848
282;56;"P";90;0,994082840236686;0,988165680473373;0,93491124260355;0,988165680473373;0,905325443786982;2700;"P";"145-2";1;719,377265854274
346;56;"P";90;0,988165680473373;0,988165680473373;0,93491124260355;0,988165680473373;0,905325443786982;2800;"G";"151-1";1;730,313893127416
347;56;"P";90;0,994082840236686;0,988165680473373;0,93491124260355;0,988165680473373;0,905325443786982;2900;"G";"151-1";1;789,033273721196
373;56;"P";90;0,988165680473373;0,988165680473373;0,93491124260355;0,988165680473373;0,905325443786982;2800;"P";"151-1";1;730,313893127416
374;56;"P";90;0,994082840236686;0,988165680473373;0,93491124260355;0,988165680473373;0,905325443786982;2900;"P";"151-1";1;789,033273721196
498;56;"P";90;0,988165680473373;0,988165680473373;0,93491124260355;0,988165680473373;0,905325443786982;2800;"G";"155-1";1;803,195102763282
526;56;"P";90;0,988165680473373;0,988165680473373;0,93491124260355;0,988165680473373;0,905325443786982;2800;"P";"155-1";1;803,195102763282
582;56;"P";90;0,994082840236686;0,988165680473373;0,93491124260355;0,988165680473373;0,905325443786982;1800;"G";"180-1";1;769,567894440211
602;56;"P";90;0,994082840236686;0,988165680473373;0,93491124260355;0,988165680473373;0,905325443786982;1800;"P";"180-1";1;769,567894440211
904;56;"P";90;0,994082840236686;0,988165680473373;0,93491124260355;0,988165680473373;0,911242603550296;1200;"G";"203-1";1;789,686052626849
905;56;"P";90;1;0,988165680473373;0,93491124260355;0,988165680473373;0,911242603550296;1300;"G";"203-1";1;849,597788067087
920;56;"P";90;0,994082840236686;0,988165680473373;0,93491124260355;0,988165680473373;0,911242603550296;1200;"P";"203-1";1;789,686052626849
921;56;"P";90;1;0,988165680473373;0,93491124260355;0,988165680473373;0,911242603550296;1300;"P";"203-1";1;849,597788067087
1091;56;"P";90;0,988165680473373;0,988165680473373;0,93491124260355;0,988165680473373;0,905325443786982;2100;"G";"232-2";1;856,479147272973
1092;56;"P";90;0,994082840236686;0,988165680473373;0,93491124260355;0,988165680473373;0,911242603550296;2200;"G";"232-2";1;890,328781367294
1116;56;"P";90;0,988165680473373;0,988165680473373;0,93491124260355;0,988165680473373;0,905325443786982;2100;"P";"232-2";1;856,479147272973
1117;56;"P";90;0,994082840236686;0,988165680473373;0,93491124260355;0,988165680473373;0,911242603550296;2200;"P";"232-2";1;890,328781367294
1171;56;"P";90;0,988165680473373;0,988165680473373;0,93491124260355;0,988165680473373;0,905325443786982;1800;"G";"246-1";1;853,425461200439
1190;56;"P";90;0,988165680473373;0,988165680473373;0,93491124260355;0,988165680473373;0,905325443786982;1800;"P";"246-1";1;853,425461200439
1427;56;"P";90;0,988165680473373;0,988165680473373;0,93491124260355;0,988165680473373;0,905325443786982;2700;"G";"264-1";1;763,956305738188
1428;56;"P";90;0,988165680473373;0,988165680473373;0,93491124260355;0,988165680473373;0,905325443786982;2800;"G";"264-1";1;774,86362391989
1429;56;"P";90;0,994082840236686;0,988165680473373;0,93491124260355;0,988165680473373;0,911242603550296;2900;"G";"264-1";1;811,798867839971
1430;56;"P";90;1;0,988165680473373;0,93491124260355;0,988165680473373;0,911242603550296;3000;"G";"264-1";1;829,375239049074
1431;56;"P";90;1;0,988165680473373;0,93491124260355;0,988165680473373;0,911242603550296;3100;"G";"264-1";1;851,228264522034
1432;56;"P";90;1;0,988165680473373;0,93491124260355;0,988165680473373;0,911242603550296;3200;"G";"264-1";1;879,118016169843
1458;56;"P";90;0,988165680473373;0,988165680473373;0,93491124260355;0,988165680473373;0,905325443786982;2700;"P";"264-1";1;763,956305738188
1459;56;"P";90;0,988165680473373;0,988165680473373;0,93491124260355;0,988165680473373;0,905325443786982;2800;"P";"264-1";1;774,86362391989
1460;56;"P";90;0,994082840236686;0,988165680473373;0,93491124260355;0,988165680473373;0,911242603550296;2900;"P";"264-1";1;811,798867839971
1461;56;"P";90;1;0,988165680473373;0,93491124260355;0,988165680473373;0,911242603550296;3000;"P";"264-1";1;829,375239049074
1462;56;"P";90;1;0,988165680473373;0,93491124260355;0,988165680473373;0,911242603550296;3100;"P";"264-1";1;851,228264522034
1463;56;"P";90;1;0,988165680473373;0,93491124260355;0,988165680473373;0,911242603550296;3200;"P";"264-1";1;879,118016169843
1527;56;"P";90;0,994082840236686;0,988165680473373;0,93491124260355;0,988165680473373;0,911242603550296;1900;"G";"285-2";1;771,61663439615
1528;56;"P";90;1;0,988165680473373;0,93491124260355;0,988165680473373;0,911242603550296;2000;"G";"285-2";1;805,395642275987
1529;56;"P";90;1;0,988165680473373;0,93491124260355;0,988165680473373;0,911242603550296;2100;"G";"285-2";1;839,504697525486
1530;56;"P";90;1;0,988165680473373;0,93491124260355;0,988165680473373;0,911242603550296;2200;"G";"285-2";1;857,125626085666
1531;56;"P";90;1;0,988165680473373;0,93491124260355;0,988165680473373;0,911242603550296;2300;"G";"285-2";1;887,174918547861
1550;56;"P";90;0,994082840236686;0,988165680473373;0,93491124260355;0,988165680473373;0,911242603550296;1900;"P";"285-2";1;771,61663439615
1551;56;"P";90;1;0,988165680473373;0,93491124260355;0,988165680473373;0,911242603550296;2000;"P";"285-2";1;805,395642275987
1552;56;"P";90;1;0,988165680473373;0,93491124260355;0,988165680473373;0,911242603550296;2100;"P";"285-2";1;839,504697525486
1553;56;"P";90;1;0,988165680473373;0,93491124260355;0,988165680473373;0,911242603550296;2200;"P";"285-2";1;857,125626085666
1554;56;"P";90;1;0,988165680473373;0,93491124260355;0,988165680473373;0,911242603550296;2300;"P";"285-2";1;887,174918547861
1739;56;"P";90;0,988165680473373;0,988165680473373;0,93491124260355;0,988165680473373;0,905325443786982;1500;"G";"371-1";1;729,385713579465
1740;56;"P";90;0,994082840236686;0,988165680473373;0,93491124260355;0,988165680473373;0,905325443786982;1600;"G";"371-1";1;783,074885134421
1757;56;"P";90;0,988165680473373;0,988165680473373;0,93491124260355;0,988165680473373;0,905325443786982;1500;"P";"371-1";1;729,385713579465
1758;56;"P";90;0,994082840236686;0,988165680473373;0,93491124260355;0,988165680473373;0,905325443786982;1600;"P";"371-1";1;783,074885134421
1784;56;"P";90;0,988165680473373;0,988165680473373;0,93491124260355;0,988165680473373;0,905325443786982;2400;"G";"4370-1";1;650,880146928187
1804;56;"P";90;0,988165680473373;0,988165680473373;0,93491124260355;0,988165680473373;0,905325443786982;2400;"P";"4370-1";1;650,880146928187
2133;56;"P";90;0,988165680473373;0,988165680473373;0,93491124260355;0,988165680473373;0,905325443786982;1700;"G";"ER 20D-2";1;796,602037276533
2134;56;"P";90;1;0,988165680473373;0,93491124260355;0,988165680473373;0,911242603550296;1800;"G";"ER 20D-2";1;825,321513664296
2135;56;"P";90;1;0,988165680473373;0,93491124260355;0,988165680473373;0,911242603550296;1900;"G";"ER 20D-2";1;853,805386444292
2136;56;"P";90;1;0,988165680473373;0,93491124260355;0,988165680473373;0,911242603550296;2000;"G";"ER 20D-2";1;903,001948201694
2150;56;"P";90;0,988165680473373;0,988165680473373;0,93491124260355;0,988165680473373;0,905325443786982;1700;"P";"ER 20D-2";1;796,602037276533
