"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"TOTALWEIGHT";"BREAKCLASS";"TFZ";"NUM_TFZ";"T10"
48;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2400;"G";"1116-1";1;604,48145253987
49;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2500;"G";"1116-1";1;626,217834672717
50;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2600;"G";"1116-1";1;651,202442782678
51;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2700;"G";"1116-1";1;680,845905690608
71;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2400;"P";"1116-1";1;604,48145253987
72;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2500;"P";"1116-1";1;626,217834672717
73;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2600;"P";"1116-1";1;651,202442782678
74;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2700;"P";"1116-1";1;680,845905690608
78;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;1500;"G";"1144-1";1;579,47097733483
79;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;1600;"G";"1144-1";1;601,450623199413
80;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;1700;"G";"1144-1";1;636,690615905179
81;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;1800;"G";"1144-1";1;671,364776696599
85;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;1500;"P";"1144-1";1;579,47097733483
86;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;1600;"P";"1144-1";1;601,450623199413
87;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;1700;"P";"1144-1";1;636,690615905179
88;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;1800;"P";"1144-1";1;671,364776696599
97;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;1700;"G";"1265-1";1;883,116607505248
107;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;1700;"P";"1265-1";1;883,116607505248
126;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;1500;"G";"139-1";1;610,99557684474
127;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;1600;"G";"139-1";1;643,494572758846
128;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;1700;"G";"139-1";1;671,46695549967
129;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;1800;"G";"139-1";1;713,997631726787
130;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;1900;"G";"139-1";1;769,48795735389
143;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;1500;"P";"139-1";1;610,99557684474
144;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;1600;"P";"139-1";1;643,494572758846
145;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;1700;"P";"139-1";1;671,46695549967
146;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;1800;"P";"139-1";1;713,997631726787
147;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;1900;"P";"139-1";1;769,48795735389
162;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;1600;"G";"140-1";1;642,218371229167
163;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;1700;"G";"140-1";1;670,938533735236
164;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;1800;"G";"140-1";1;712,681310853934
165;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;1900;"G";"140-1";1;768,027390197283
182;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;1600;"P";"140-1";1;642,218371229167
183;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;1700;"P";"140-1";1;670,938533735236
184;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;1800;"P";"140-1";1;712,681310853934
185;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;1900;"P";"140-1";1;768,027390197283
201;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;1500;"G";"142-1";1;661,090474945993
202;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;1600;"G";"142-1";1;696,73282296605
213;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;1500;"P";"142-1";1;661,090474945993
214;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;1600;"P";"142-1";1;696,73282296605
225;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;1500;"G";"143-6";1;632,100561527776
236;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;1500;"P";"143-6";1;632,100561527776
252;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2000;"G";"145-2";1;578,891111067993
253;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2100;"G";"145-2";1;592,644135988739
254;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2200;"G";"145-2";1;616,817008426292
255;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2300;"G";"145-2";1;632,013596252544
256;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2400;"G";"145-2";1;648,796016111854
257;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2500;"G";"145-2";1;661,041051091388
258;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2600;"G";"145-2";1;687,576610911848
259;50;"P";90;1;0,972972972972973;1;0,918918918918919;0,918918918918919;2700;"G";"145-2";1;719,377265854274
275;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2000;"P";"145-2";1;578,891111067993
276;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2100;"P";"145-2";1;592,644135988739
277;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2200;"P";"145-2";1;616,817008426292
278;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2300;"P";"145-2";1;632,013596252544
279;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2400;"P";"145-2";1;648,796016111854
280;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2500;"P";"145-2";1;661,041051091388
281;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2600;"P";"145-2";1;687,576610911848
282;50;"P";90;1;0,972972972972973;1;0,918918918918919;0,918918918918919;2700;"P";"145-2";1;719,377265854274
300;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2200;"G";"146-3";1;581,710649597574
301;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2300;"G";"146-3";1;600,377799275096
302;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2400;"G";"146-3";1;620,664912556812
320;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2200;"P";"146-3";1;581,710649597574
321;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2300;"P";"146-3";1;600,377799275096
322;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2400;"P";"146-3";1;620,664912556812
341;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2300;"G";"151-1";1;608,822179875708
342;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2400;"G";"151-1";1;635,592152663367
343;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2500;"G";"151-1";1;658,578686594344
344;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2600;"G";"151-1";1;679,247143308141
345;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2700;"G";"151-1";1;705,927005533064
346;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2800;"G";"151-1";1;730,313893127416
347;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2900;"G";"151-1";1;789,033273721196
368;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2300;"P";"151-1";1;608,822179875708
369;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2400;"P";"151-1";1;635,592152663367
370;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2500;"P";"151-1";1;658,578686594344
371;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2600;"P";"151-1";1;679,247143308141
372;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2700;"P";"151-1";1;705,927005533064
373;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2800;"P";"151-1";1;730,313893127416
374;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2900;"P";"151-1";1;789,033273721196
396;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2400;"G";"152-2";1;608,893138804921
397;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2500;"G";"152-2";1;631,161487909417
398;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2600;"G";"152-2";1;657,123221288507
399;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2700;"G";"152-2";1;686,758282278036
423;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2400;"P";"152-2";1;608,893138804921
424;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2500;"P";"152-2";1;631,161487909417
425;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2600;"P";"152-2";1;657,123221288507
426;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2700;"P";"152-2";1;686,758282278036
449;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2400;"G";"152-3";1;608,667722796163
450;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2500;"G";"152-3";1;630,901785191079
451;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2600;"G";"152-3";1;656,822661066901
452;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2700;"G";"152-3";1;686,408535365507
471;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2400;"P";"152-3";1;608,667722796163
472;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2500;"P";"152-3";1;630,901785191079
473;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2600;"P";"152-3";1;656,822661066901
474;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2700;"P";"152-3";1;686,408535365507
494;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2400;"G";"155-1";1;686,575745343737
495;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2500;"G";"155-1";1;706,143278507451
496;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2600;"G";"155-1";1;735,070461282314
