"";"TRAINRUN";"TFZ";"NUM_TFZ";"VMAX";"TOTALLENGTH";"TOTALWEIGHT";"BREAKCLASS";"BrH";"LZB";"ELECTRIC";"TRAINCLASS"
"1";28;"140-1";1;100;716;1683;"P";64;FALSE;1;"FGz"
"2";32851;"185-2";1;100;599;1335;"P";75;TRUE;1;"NGz"
"3";41775;"185-2";1;90;619;1935;"G";72;TRUE;1;"GzG"
"4";47302;"155-1";1;100;619;1123;"P";70;FALSE;1;"FGz"
"5";47754;"155-1";1;90;519;2088;"G";66;FALSE;1;"FGz"
"6";47793;"189-2";1;100;669;886;"P";70;TRUE;1;"NGz"
"7";48571;"28-1";1;90;569;2385;"G";63;FALSE;1;"GzG"
"8";50037;"152-3";1;120;619;1487;"P";83;TRUE;1;"FGz"
"9";50038;"152-3";1;120;619;1487;"P";86;TRUE;1;"FGz"
"10";51136;"155-1";1;100;719;2373;"G";64;FALSE;1;"GzG"
"11";51140;"155-1";1;100;719;2323;"G";64;FALSE;1;"GzG"
"12";52400;"140-1";1;100;716;1683;"P";64;FALSE;1;"FGz"
"13";52401;"140-1";1;100;716;1683;"P";64;FALSE;1;"FGz"
"14";52402;"140-1";1;100;716;1683;"P";64;FALSE;1;"FGz"
"15";52403;"140-1";1;100;716;1683;"P";64;FALSE;1;"FGz"
"16";52404;"140-1";1;100;716;1683;"P";64;FALSE;1;"FGz"
"17";52405;"140-1";1;100;716;1683;"P";64;FALSE;1;"FGz"
"18";52406;"140-1";1;100;716;1683;"P";65;FALSE;1;"FGz"
"19";52407;"140-1";1;100;716;2083;"G";63;FALSE;1;"GzG"
"20";52408;"140-1";1;100;716;1548;"P";64;FALSE;1;"FGz"
"21";52409;"140-1";1;100;716;1683;"P";64;FALSE;1;"FGz"
"22";52411;"140-1";1;100;716;1683;"P";64;FALSE;1;"FGz"
"23";52413;"140-1";1;100;716;1683;"P";64;FALSE;1;"FGz"
"24";52415;"140-1";1;100;716;1683;"P";64;FALSE;1;"FGz"
"25";52417;"140-1";1;100;716;1683;"P";64;FALSE;1;"FGz"
"26";52419;"140-1";1;100;716;1683;"P";64;FALSE;1;"FGz"
"27";53696;"294-3";1;80;689;1130;"P";42;FALSE;0;"NGz"
"28";53697;"294-3";1;80;608;1130;"P";37;FALSE;0;"NGz"
"29";60007;"155-1";1;100;599;1423;"P";64;FALSE;1;"FGz"
"30";60008;"140-1";1;100;616;1083;"P";64;FALSE;1;"FGz"
"31";60009;"155-1";1;100;599;1723;"P";64;FALSE;1;"FGz"
"32";60012;"155-1";1;100;599;2323;"G";73;FALSE;1;"FGz"
"33";60031;"140-1";1;100;596;1083;"P";61;FALSE;1;"FGz"
"34";60032;"140-1";1;100;596;1083;"P";61;FALSE;1;"FGz"
"35";60037;"155-1";1;100;602;923;"P";61;FALSE;1;"FGz"
"36";60129;"140-1";1;100;596;1083;"P";61;FALSE;1;"FGz"
"37";60130;"140-1";1;100;596;1083;"P";61;FALSE;1;"FGz"
"38";60318;"294-3";1;80;464;880;"P";66;FALSE;0;"NGz"
"39";60520;"185-2";1;90;469;2635;"P";56;FALSE;1;"FGz"
"40";60536;"185-2";1;90;499;2735;"P";58;FALSE;1;"Gz"
"41";60591;"155-1";1;100;499;823;"P";80;FALSE;1;"FGz"
"42";60638;"185-2";1;90;499;2785;"P";52;FALSE;1;"NGz"
"43";60639;"155-1";1;100;499;823;"P";80;FALSE;1;"FGz"
"44";60652;"185-2";1;90;499;2785;"P";52;FALSE;1;"NGz"
"45";60692;"185-2";1;90;499;2785;"P";52;FALSE;1;"FGz"
"46";60790;"155-1";1;100;279;623;"P";70;FALSE;1;"NGz"
"47";61128;"151-1";1;120;629;1398;"P";87;FALSE;1;"FGz"
"48";62957;"140-1";1;100;366;633;"P";70;FALSE;1;"NGz"
"49";63273;"151-1";1;110;599;1418;"P";66;TRUE;1;"NGz"
"50";69052;"185-2";1;100;619;985;"P";80;TRUE;1;"NGz"
"51";69068;"264-1";1;80;543;3456;"P";63;FALSE;0;"NGz"
"52";69247;"250-1";1;100;554;976;"P";70;FALSE;0;"NGz"
"53";69321;"264-1";1;90;622;1146;"P";70;FALSE;0;"NGz"
"54";69322;"185-2";1;90;609;2435;"P";62;TRUE;1;"NGz"
"55";90966;"264-1";1;100;583;976;"P";100;FALSE;0;"FGz"
"56";91049;"185-2";1;100;608;1085;"P";75;TRUE;1;"NGz"
"57";95641;"143-6";1;100;580;782;"P";67;FALSE;1;"FGz"
"58";99606;"185CL1-1";1;100;649;1684;"P";75;TRUE;1;"FGz"
"59";99668;"155-1";1;100;577;1323;"P";58;FALSE;1;"FGz"
