"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"TFZ";"TOTALWEIGHT";"NUM_TFZ";"VMAX";"T10"
12;63;"G";90;0,942148760330578;0,909090909090909;1;0,925619834710744;0,900826446280992;"ER 20D-2";1880;1;80;746,259039057994
14;63;"G";90;0,983471074380165;0,909090909090909;1;0,925619834710744;0,900826446280992;"211-1";2241;2;80;883,736961496171
49;63;"G";90;0,942148760330578;0,909090909090909;1;0,925619834710744;0,900826446280992;"140-1";2083;1;100;670,800262981201
57;63;"G";90;0,966942148760331;0,909090909090909;1;0,925619834710744;0,900826446280992;"264-1";3456;1;80;765,887583017809
79;63;"G";90;0,983471074380165;0,909090909090909;1;0,925619834710744;0,900826446280992;"G1206-3";2087;1;80;883,367468423894
94;63;"G";90;0,942148760330578;0,909090909090909;1;0,925619834710744;0,900826446280992;"185CL1-1";2984;1;100;662,002218059334
128;63;"G";90;0,983471074380165;0,909090909090909;1;0,925619834710744;0,900826446280992;"9274-1";1980;1;80;1021,11895287679
129;63;"G";90;0,942148760330578;0,909090909090909;1;0,925619834710744;0,900826446280992;"140-1";4086;2;90;665,774164163545
143;63;"G";90;0,942148760330578;0,909090909090909;1;0,925619834710744;0,900826446280992;"140-1";3966;2;90;659,035294102765
162;63;"G";90;0,942148760330578;0,909090909090909;1;0,925619834710744;0,900826446280992;"140-1";1883;1;90;638,016549486224
175;63;"G";90;1;0,909090909090909;1;0,925619834710744;0,900826446280992;"G1206-1";2690;1;80;1021,47582818879
177;63;"G";90;1;0,909090909090909;1;0,925619834710744;0,900826446280992;"G1206-1";2590;1;80;1016,52311609825
184;63;"G";90;0,983471074380165;0,909090909090909;1;0,925619834710744;0,900826446280992;"G1206-3";1687;1;80;848,741788622444
206;63;"G";90;0,966942148760331;0,909090909090909;1;0,925619834710744;0,900826446280992;"G1700-2";1688;1;90;762,55635926115
219;63;"G";90;0,942148760330578;0,909090909090909;1;0,925619834710744;0,900826446280992;"185-2";2935;1;90;658,664144084364
226;63;"G";90;0,942148760330578;0,909090909090909;1;0,925619834710744;0,900826446280992;"185-2";3075;1;90;668,816333078269
228;63;"G";90;0,942148760330578;0,909090909090909;1;0,925619834710744;0,900826446280992;"185-2";3035;1;90;665,874322743458
283;63;"G";90;0,942148760330578;0,909090909090909;1;0,925619834710744;0,900826446280992;"ER 20D-2";1970;1;90;753,487189198305
415;63;"G";90;0,966942148760331;0,909090909090909;1;0,925619834710744;0,900826446280992;"232-2";2422;1;90;763,52993209362
419;63;"G";90;0,942148760330578;0,909090909090909;1;0,925619834710744;0,900826446280992;"151-1";2918;1;80;654,653319877115
420;63;"G";90;1;0,909090909090909;1;0,925619834710744;0,900826446280992;"DE1002-1";3990;1;80;1155,78017715167
429;63;"G";90;0,983471074380165;0,909090909090909;1;0,925619834710744;0,900826446280992;"G1206-3";3674;2;80;860,529187374215
430;63;"G";90;0,983471074380165;0,909090909090909;1;0,925619834710744;0,900826446280992;"G1206-3";2187;1;80;893,736394836174
432;63;"G";90;0,983471074380165;0,909090909090909;1;0,925619834710744;0,900826446280992;"203-1";1868;1;90;876,915924242969
444;63;"G";90;0,983471074380165;0,909090909090909;1;0,925619834710744;0,900826446280992;"203-1";1668;1;80;792,24707215649
446;63;"G";90;0,942148760330578;0,909090909090909;1;0,925619834710744;0,900826446280992;"203-1";1368;1;90;752,817898354465
463;63;"G";90;0,983471074380165;0,909090909090909;1;0,925619834710744;0,900826446280992;"66-1";3526;1;100;866,352778635464
470;63;"G";90;0,983471074380165;0,909090909090909;1;0,925619834710744;0,900826446280992;"66-2";3726;1;90;876,356908242111
503;63;"G";90;0,983471074380165;0,909090909090909;1;0,925619834710744;0,900826446280992;"G1206-4";1887;1;60;865,712512650703
525;63;"G";90;0,942148760330578;0,909090909090909;1;0,925619834710744;0,900826446280992;"139-1";2086;1;100;671,221941191462
558;63;"G";90;0,966942148760331;0,909090909090909;1;0,925619834710744;0,900826446280992;"225-1";1428;1;80;782,908512801698
561;63;"G";90;0,983471074380165;0,909090909090909;1;0,925619834710744;0,900826446280992;"G1700-1";2087;1;80;859,519887004114
649;63;"G";90;0,983471074380165;0,909090909090909;1;0,925619834710744;0,900826446280992;"G1206-3";1887;1;100;864,941777996404
661;63;"G";90;0,942148760330578;0,909090909090909;1;0,925619834710744;0,900826446280992;"145-2";2580;1;90;644,51326657475
676;63;"G";90;0,983471074380165;0,909090909090909;1;0,925619834710744;0,900826446280992;"1293-2";1680;1;65;921,334459946183
685;63;"G";90;0,942148760330578;0,909090909090909;1;0,925619834710744;0,900826446280992;"185-2";3084;1;100;669,4829957287
711;63;"G";90;1;0,909090909090909;1;0,925619834710744;0,900826446280992;"294-1";1764;1;40;1056,52845475141
712;63;"G";90;1;0,909090909090909;1;0,925619834710744;0,900826446280992;"294-2";1789;1;40;850,482585930078
723;63;"G";90;1;0,909090909090909;1;0,925619834710744;0,900826446280992;"363-1";2376;2;60;1103,09711723805
758;63;"G";90;0,966942148760331;0,909090909090909;1;0,925619834710744;0,900826446280992;"203-1";1598;1;100;781,902042638094
776;63;"G";90;0,942148760330578;0,909090909090909;1;0,925619834710744;0,900826446280992;"185-2";2885;1;90;655,133638272681
779;63;"G";90;0,983471074380165;0,909090909090909;1;0,925619834710744;0,900826446280992;"250-1";3476;1;90;855,123388143463
784;63;"G";90;0,983471074380165;0,909090909090909;1;0,925619834710744;0,900826446280992;"250-1";3326;1;90;849,100782178489
828;63;"G";90;0,942148760330578;0,909090909090909;1;0,925619834710744;0,900826446280992;"140-1";2283;1;100;695,791805181298
872;63;"G";90;0,983471074380165;0,909090909090909;1;0,925619834710744;0,900826446280992;"232-2";2762;1;100;852,467786771253
883;63;"G";90;0,983471074380165;0,909090909090909;1;0,925619834710744;0,900826446280992;"66-1";3726;1;90;876,356908242111
890;63;"G";90;0,942148760330578;0,909090909090909;1;0,925619834710744;0,900826446280992;"180-1";2084;1;100;683,697100033551
894;63;"G";90;0,942148760330578;0,909090909090909;1;0,925619834710744;0,900826446280992;"371-1";2084;1;100;740,655703291717
897;63;"G";90;0,942148760330578;0,909090909090909;1;0,925619834710744;0,900826446280992;"180-1";2384;1;90;739,848908452917
900;63;"G";90;0,942148760330578;0,909090909090909;1;0,925619834710744;0,900826446280992;"371-1";1884;1;100;715,305773292214
902;63;"G";90;0,942148760330578;0,909090909090909;1;0,925619834710744;0,900826446280992;"180-1";2074;1;100;682,444907837691
904;63;"G";90;0,942148760330578;0,909090909090909;1;0,925619834710744;0,900826446280992;"180-1";2484;1;90;750,985958691341
