"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"TFZ";"TOTALWEIGHT";"NUM_TFZ";"VMAX";"T10"
12;60;"G";90;1;0,945205479452055;1;0,958904109589041;0,917808219178082;"ER 20D-2";1880;1;80;746,259039057994
14;60;"G";90;1;0,945205479452055;1;0,958904109589041;0,917808219178082;"211-1";2241;2;80;883,736961496171
20;60;"G";90;0,986301369863014;0,945205479452055;1;0,958904109589041;0,917808219178082;"189-2";2786;1;90;624,752739433442
26;60;"G";90;0,986301369863014;0,945205479452055;1;0,958904109589041;0,917808219178082;"28-1";2385;1;90;600,184697353645
34;60;"G";90;0,986301369863014;0,945205479452055;1;0,958904109589041;0,917808219178082;"185-2";2635;1;90;620,418864540445
35;60;"G";90;0,986301369863014;0,945205479452055;1;0,958904109589041;0,917808219178082;"185-2";2735;1;90;629,094361966156
36;60;"G";90;0,986301369863014;0,945205479452055;1;0,958904109589041;0,917808219178082;"185-2";2785;1;90;633,58086915067
37;60;"G";90;0,986301369863014;0,945205479452055;1;0,958904109589041;0,917808219178082;"185-2";2235;1;90;588,872803312127
42;60;"G";90;0,986301369863014;0,945205479452055;1;0,958904109589041;0,917808219178082;"185-2";2435;1;90;604,084112081587
49;60;"G";90;0,986301369863014;0,945205479452055;1;0,958904109589041;0,917808219178082;"140-1";2083;1;100;670,800262981201
57;60;"G";90;1;0,945205479452055;1;0,958904109589041;0,917808219178082;"264-1";3456;1;80;765,887583017809
77;60;"G";90;0,986301369863014;0,945205479452055;1;0,958904109589041;0,917808219178082;"185CL1-1";2384;1;100;599,915914613198
79;60;"G";90;1;0,945205479452055;1;0,958904109589041;0,917808219178082;"G1206-3";2087;1;80;883,367468423894
91;60;"G";90;0,986301369863014;0,945205479452055;1;0,958904109589041;0,917808219178082;"185-2";2285;1;90;592,581933502394
93;60;"G";90;0,986301369863014;0,945205479452055;1;0,958904109589041;0,917808219178082;"185CL1-1";2684;1;90;624,36296541038
94;60;"G";90;0,986301369863014;0,945205479452055;1;0,958904109589041;0,917808219178082;"185CL1-1";2984;1;100;662,002218059334
128;60;"G";90;1;0,945205479452055;1;0,958904109589041;0,917808219178082;"9274-1";1980;1;80;1021,11895287679
129;60;"G";90;0,986301369863014;0,945205479452055;1;0,958904109589041;0,917808219178082;"140-1";4086;2;90;665,774164163545
131;60;"G";90;1;0,945205479452055;1;0,958904109589041;0,917808219178082;"189-2";5572;2;80;624,524767439653
139;60;"G";90;0,986301369863014;0,945205479452055;1;0,958904109589041;0,917808219178082;"185-2";2385;1;90;600,184697353645
143;60;"G";90;0,986301369863014;0,945205479452055;1;0,958904109589041;0,917808219178082;"140-1";3966;2;90;659,035294102765
144;60;"G";90;0,986301369863014;0,945205479452055;1;0,958904109589041;0,917808219178082;"185-2";2485;1;90;608,053249570571
