"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"TFZ";"TOTALWEIGHT";"NUM_TFZ";"VMAX";"T10"
12;59;"P";90;1;0,964497041420118;0,93491124260355;0,988165680473373;0,905325443786982;"ER 20D-2";1880;1;80;728,401896200851
14;59;"P";90;1;0,964497041420118;0,93491124260355;0,988165680473373;0,905325443786982;"211-1";2241;2;80;868,856009115219
57;59;"P";90;1;0,964497041420118;0,93491124260355;0,988165680473373;0,905325443786982;"264-1";3456;1;80;748,030440160666
79;59;"P";90;1;0,964497041420118;0,93491124260355;0,988165680473373;0,905325443786982;"G1206-3";2087;1;80;868,486516042941
128;59;"P";90;1;0,964497041420118;0,93491124260355;0,988165680473373;0,905325443786982;"9274-1";1980;1;80;1009,21419097202
164;59;"P";90;0,994082840236686;0,964497041420118;0,93491124260355;0,988165680473373;0,905325443786982;"294-3";1480;1;80;866,391200038519
167;59;"P";90;0,994082840236686;0,964497041420118;0,93491124260355;0,988165680473373;0,905325443786982;"232-2";2322;1;80;737,825373295457
175;59;"P";90;1;0,964497041420118;0,93491124260355;0,988165680473373;0,905325443786982;"G1206-1";2690;1;80;1009,57106628403
177;59;"P";90;1;0,964497041420118;0,93491124260355;0,988165680473373;0,905325443786982;"G1206-1";2590;1;80;1004,61835419349
184;59;"P";90;1;0,964497041420118;0,93491124260355;0,988165680473373;0,905325443786982;"G1206-3";1687;1;80;833,860836241492
206;59;"P";90;1;0,964497041420118;0,93491124260355;0,988165680473373;0,905325443786982;"G1700-2";1688;1;90;744,699216404007
283;59;"P";90;1;0,964497041420118;0,93491124260355;0,988165680473373;0,905325443786982;"ER 20D-2";1970;1;90;735,630046341163
415;59;"P";90;1;0,964497041420118;0,93491124260355;0,988165680473373;0,905325443786982;"232-2";2422;1;90;745,672789236477
420;59;"P";90;1;0,964497041420118;0,93491124260355;0,988165680473373;0,905325443786982;"DE1002-1";3990;1;80;1144,47065334214
429;59;"P";90;1;0,964497041420118;0,93491124260355;0,988165680473373;0,905325443786982;"G1206-3";3674;2;80;845,648234993263
430;59;"P";90;1;0,964497041420118;0,93491124260355;0,988165680473373;0,905325443786982;"G1206-3";2187;1;80;878,855442455221
432;59;"P";90;1;0,964497041420118;0,93491124260355;0,988165680473373;0,905325443786982;"203-1";1868;1;90;862,034971862017
