"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"TFZ";"TOTALWEIGHT";"NUM_TFZ";"VMAX";"T10"
9;55;"P";80;0,974358974358974;0,923076923076923;1;1;0,923076923076923;"295-1";1079;1;80;840,767427420357
12;55;"P";80;0,948717948717949;0,923076923076923;1;1;0,923076923076923;"ER 20D-2";1880;1;80;728,401896200851
14;55;"P";80;0,974358974358974;0,923076923076923;1;1;0,923076923076923;"211-1";2241;2;80;868,856009115219
32;55;"P";80;0,974358974358974;0,923076923076923;1;1;0,923076923076923;"295-1";1279;1;80;874,125921182136
57;55;"P";80;0,974358974358974;0,923076923076923;1;1;0,923076923076923;"264-1";3456;1;80;748,030440160666
79;55;"P";80;0,974358974358974;0,923076923076923;1;1;0,923076923076923;"G1206-3";2087;1;80;868,486516042941
98;55;"P";80;0,974358974358974;0,923076923076923;1;1;0,923076923076923;"G1206-1";1815;1;80;827,567584800507
102;55;"P";80;0,974358974358974;0,923076923076923;1;1;0,923076923076923;"G1206-1";2090;1;80;848,34885522398
128;55;"P";80;0,974358974358974;0,923076923076923;1;1;0,923076923076923;"9274-1";1980;1;80;1009,21419097202
164;55;"P";80;1;0,923076923076923;1;1;0,923076923076923;"294-3";1480;1;80;866,391200038519
166;55;"P";80;0,974358974358974;0,923076923076923;1;1;0,923076923076923;"294-3";1245;1;80;835,938264255897
167;55;"P";80;0,974358974358974;0,923076923076923;1;1;0,923076923076923;"232-2";2322;1;80;737,825373295457
174;55;"P";80;0,974358974358974;0,923076923076923;1;1;0,923076923076923;"260-2";1484;1;90;744,385797582434
175;55;"P";80;1;0,923076923076923;1;1;0,923076923076923;"G1206-1";2690;1;80;1009,57106628403
177;55;"P";80;1;0,923076923076923;1;1;0,923076923076923;"G1206-1";2590;1;80;1004,61835419349
181;55;"P";80;0,974358974358974;0,923076923076923;1;1;0,923076923076923;"DH1004-1";1072;1;90;761,324117047126
184;55;"P";80;0,974358974358974;0,923076923076923;1;1;0,923076923076923;"G1206-3";1687;1;80;833,860836241492
206;55;"P";80;0,974358974358974;0,923076923076923;1;1;0,923076923076923;"G1700-2";1688;1;90;744,699216404007
262;55;"P";80;0,974358974358974;0,923076923076923;1;1;0,923076923076923;"294-1";1079;1;80;842,070390564308
266;55;"P";80;0,974358974358974;0,923076923076923;1;1;0,923076923076923;"294-3";1380;1;80;852,312912252603
283;55;"P";80;0,948717948717949;0,923076923076923;1;1;0,923076923076923;"ER 20D-2";1970;1;90;735,630046341163
288;55;"P";80;0,974358974358974;0,923076923076923;1;1;0,923076923076923;"261-1";1280;1;60;808,587415194737
292;55;"P";80;0,974358974358974;0,923076923076923;1;1;0,923076923076923;"294-1";1279;1;80;876,808216840436
297;55;"P";80;0,948717948717949;0,923076923076923;1;1;0,923076923076923;"ER 20D-5";1530;1;100;715,305357400849
376;55;"P";80;0,974358974358974;0,923076923076923;1;1;0,923076923076923;"294-3";1280;1;80;839,957208015393
415;55;"P";80;0,974358974358974;0,923076923076923;1;1;0,923076923076923;"232-2";2422;1;90;745,672789236477
