"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"TFZ";"TOTALWEIGHT";"NUM_TFZ";"VMAX";"T10"
57;60;"P";90;0,993197278911565;0,945578231292517;0,959183673469388;1;0,904761904761905;"264-1";3456;1;80;748,030440160666
79;60;"P";90;1;0,945578231292517;0,959183673469388;1;0,904761904761905;"G1206-3";2087;1;80;868,486516042941
128;60;"P";90;0,993197278911565;0,945578231292517;0,959183673469388;1;0,904761904761905;"9274-1";1980;1;80;1009,21419097202
175;60;"P";90;1;0,945578231292517;0,959183673469388;1;0,904761904761905;"G1206-1";2690;1;80;1009,57106628403
177;60;"P";90;0,993197278911565;0,945578231292517;0,959183673469388;1;0,904761904761905;"G1206-1";2590;1;80;1004,61835419349
283;60;"P";90;0,993197278911565;0,945578231292517;0,959183673469388;1;0,904761904761905;"ER 20D-2";1970;1;90;735,630046341163
420;60;"P";90;1;0,945578231292517;0,959183673469388;1;0,904761904761905;"DE1002-1";3990;1;80;1144,47065334214
429;60;"P";90;1;0,945578231292517;0,959183673469388;1;0,904761904761905;"G1206-3";3674;2;80;845,648234993263
430;60;"P";90;1;0,945578231292517;0,959183673469388;1;0,904761904761905;"G1206-3";2187;1;80;878,855442455221
432;60;"P";90;1;0,945578231292517;0,959183673469388;1;0,904761904761905;"203-1";1868;1;90;862,034971862017
444;60;"P";90;1;0,945578231292517;0,959183673469388;1;0,904761904761905;"203-1";1668;1;80;774,389929299347
446;60;"P";90;0,993197278911565;0,945578231292517;0,959183673469388;1;0,904761904761905;"203-1";1368;1;90;734,960755497322
463;60;"P";90;0,993197278911565;0,945578231292517;0,959183673469388;1;0,904761904761905;"66-1";3526;1;100;851,471826254512
470;60;"P";90;1;0,945578231292517;0,959183673469388;1;0,904761904761905;"66-2";3726;1;90;861,475955861158
503;60;"P";90;1;0,945578231292517;0,959183673469388;1;0,904761904761905;"G1206-4";1887;1;60;850,831560269751
558;60;"P";90;1;0,945578231292517;0,959183673469388;1;0,904761904761905;"225-1";1428;1;80;765,051369944555
