"";"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"select_av";"select_all";"select_t10";"TFZ";"TOTALWEIGHT";"NUM_TFZ";"VMAX";"T10"
"7502";47;54;"G";80;0,905325443786982;1;1;1;0,905325443786982;1;0;0;"155-1";2373;1;100;628,01693234428
"7290";50;56;"G";80;0,911242603550296;0,988165680473373;1;1;0,905325443786982;0;0;0;"140-1";1548;1;100;615,847475350404
"3675";166;54;"G";90;0,917159763313609;1;1;0,988165680473373;0,905325443786982;0;0;0;"294-3";1245;1;80;850,819216636849
"2892";569;60;"G";90;0,923076923076923;0,958579881656805;1;0,988165680473373;0,905325443786982;0;0;0;"212-1";963;1;80;762,250697782461
"2425";394;62;"G";90;0,928994082840237;0,940828402366864;1;0,988165680473373;0,905325443786982;0;1;0;"ER 20D-2";1580;1;90;679,680272653386
"5652";448;54;"P";80;0,940828402366864;1;0,93491124260355;1;0,905325443786982;0;0;0;"140-1";1583;1;90;595,236935662058
"1767";242;54;"P";90;0,946745562130177;1;0,93491124260355;0,988165680473373;0,905325443786982;0;0;1;"145-2";2080;1;90;565,204887790246
"5361";43;56;"P";80;0,952662721893491;0,988165680473373;0,93491124260355;1;0,905325443786982;0;0;0;"140-1";1683;1;100;604,640697797347
"2196";266;64;"G";90;0,964497041420118;0,923076923076923;1;0,988165680473373;0,905325443786982;0;0;0;"294-3";1380;1;80;867,193864633555
"1687";953;56;"P";90;0,970414201183432;0,988165680473373;0,93491124260355;0,988165680473373;0,905325443786982;0;0;0;"261-1";1380;1;100;853,063597455062
"1106";164;59;"P";90;0,994082840236686;0,964497041420118;0,93491124260355;0,988165680473373;0,905325443786982;0;0;0;"294-3";1480;1;80;866,391200038519
"1927";12;65;"G";90;1;0,905325443786982;1;0,988165680473373;0,905325443786982;0;0;0;"ER 20D-2";1880;1;80;746,259039057994
