"";"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"select_av";"select_all";"select_t10";"TFZ";"TOTALWEIGHT";"NUM_TFZ";"VMAX";"T10"
"1299";43;55;"G";90;0,903409090909091;1;1;0,994318181818182;0,903409090909091;1;0;0;"140-1";1683;1;100;611,116644537155
"1241";892;56;"G";90;0,926136363636364;0,977272727272727;1;0,994318181818182;0,909090909090909;0;0;1;"180-1";1484;1;100;596,118576775908
"924";26;58;"G";90;0,931818181818182;0,960227272727273;1;0,994318181818182;0,903409090909091;0;1;0;"28-1";2385;1;90;600,184697353645
"746";42;60;"G";90;0,9375;0,954545454545455;1;0,994318181818182;0,903409090909091;0;0;0;"185-2";2435;1;90;604,084112081587
"558";34;61;"G";90;0,948863636363636;0,943181818181818;1;0,994318181818182;0,903409090909091;0;0;0;"185-2";2635;1;90;620,418864540445
"376";36;62;"G";90;0,960227272727273;0,9375;1;0,994318181818182;0,903409090909091;0;0;0;"185-2";2785;1;90;633,58086915067
"1709";280;63;"G";80;0,977272727272727;0,920454545454545;1;1;0,903409090909091;0;0;0;"155-1";2773;1;90;658,748418404251
"210";143;63;"G";90;0,982954545454545;0,920454545454545;1;0,994318181818182;0,903409090909091;0;0;0;"140-1";3966;2;90;659,035294102765
"1498";143;64;"G";80;0,982954545454545;0,914772727272727;1;1;0,903409090909091;0;0;0;"140-1";3966;2;90;659,035294102765
"18";94;64;"G";90;0,988636363636364;0,914772727272727;1;0,994318181818182;0,903409090909091;0;0;0;"185CL1-1";2984;1;100;662,002218059334
