"";"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"select_av";"select_all";"select_t10";"TFZ";"TOTALWEIGHT";"NUM_TFZ";"VMAX";"T10"
"3107";42;54;"G";80;0,904494382022472;0,98314606741573;1;1;0,904494382022472;0;0;0;"185-2";2435;1;90;625,356822341656
"1257";142;54;"G";90;0,910112359550562;0,98314606741573;1;0,97752808988764;0,904494382022472;1;0;1;"151-1";2518;1;90;609,360754250216
"2962";142;56;"G";80;0,910112359550562;0,97752808988764;1;1;0,904494382022472;0;0;0;"151-1";2518;1;90;627,875466475678
"1116";204;56;"G";90;0,915730337078652;0,97752808988764;1;0,97752808988764;0,904494382022472;0;0;0;"145-2";2430;1;100;633,441992941703
"2833";281;58;"G";80;0,926966292134832;0,960674157303371;1;1;0,904494382022472;0;0;0;"155-1";2663;1;90;649,74807083522
"934";34;58;"G";90;0,932584269662921;0,960674157303371;1;0,97752808988764;0,904494382022472;0;0;0;"185-2";2635;1;90;620,418864540445
"2641";36;60;"G";80;0,938202247191011;0,949438202247191;1;1;0,904494382022472;0;0;0;"185-2";2785;1;90;648,214509444121
"817";280;60;"G";90;0,943820224719101;0,949438202247191;1;0,97752808988764;0,904494382022472;0;0;0;"155-1";2773;1;90;658,748418404251
"2451";937;62;"G";80;0,949438202247191;0,932584269662921;1;1;0,904494382022472;0;0;0;"155-1";3073;1;90;701,910058021542
"373";446;63;"G";90;0,960674157303371;0,926966292134832;1;0,97752808988764;0,904494382022472;0;0;0;"203-1";1368;1;90;752,817898354465
"265";890;64;"G";90;0,971910112359551;0,915730337078652;1;0,97752808988764;0,904494382022472;0;0;0;"180-1";2084;1;100;683,697100033551
"102";828;65;"G";90;0,97752808988764;0,910112359550562;1;0,97752808988764;0,904494382022472;0;1;0;"140-1";2283;1;100;695,791805181298
