"";"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"select_av";"select_all";"select_t10";"TFZ";"TOTALWEIGHT";"NUM_TFZ";"VMAX";"T10"
"2797";98;56;"G";80;0,904522613065327;0,994974874371859;1;1;0,904522613065327;0;0;0;"G1206-1";1815;1;80;842,448537181459
"1225";42;56;"G";90;0,909547738693467;0,994974874371859;1;0,969849246231156;0,904522613065327;1;0;1;"185-2";2435;1;90;604,084112081587
"2614";34;58;"G";80;0,924623115577889;0,974874371859296;1;1;0,904522613065327;0;0;0;"185-2";2635;1;90;638,170947915044
"1050";36;58;"G";90;0,92964824120603;0,974874371859296;1;0,969849246231156;0,904522613065327;0;0;0;"185-2";2785;1;90;633,58086915067
"2481";273;60;"G";80;0,934673366834171;0,964824120603015;1;1;0,904522613065327;0;0;0;"185-2";2665;1;80;640,148770642023
"878";49;60;"G";90;0,939698492462312;0,964824120603015;1;0,969849246231156;0,904522613065327;0;0;0;"140-1";2083;1;100;670,800262981201
"2308";280;62;"G";80;0,944723618090452;0,954773869346734;1;1;0,904522613065327;0;0;0;"155-1";2773;1;90;658,748418404251
"2148";419;63;"G";80;0,949748743718593;0,949748743718593;1;1;0,904522613065327;0;0;0;"151-1";2918;1;80;654,653319877115
"534";94;63;"G";90;0,954773869346734;0,949748743718593;1;0,969849246231156;0,909547738693467;0;0;0;"185CL1-1";2984;1;100;662,002218059334
"464";828;64;"G";90;0,959798994974874;0,939698492462312;1;0,969849246231156;0,904522613065327;0;1;0;"140-1";2283;1;100;695,791805181298
"1799";417;65;"G";80;0,964824120603015;0,934673366834171;1;1;0,904522613065327;0;0;0;"G1206-1";4100;2;80;859,556734209813
"302";897;65;"G";90;0,969849246231156;0,934673366834171;1;0,969849246231156;0,909547738693467;0;0;0;"180-1";2384;1;90;739,848908452917
"1576";79;66;"G";80;0,994974874371859;0,904522613065327;1;1;0,904522613065327;0;0;0;"G1206-3";2087;1;80;883,367468423894
