"";"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"select_av";"select_all";"select_t10";"TFZ";"TOTALWEIGHT";"NUM_TFZ";"VMAX";"T10"
"1470";446;42;"G";80;0,902255639097744;1;1;1;0,902255639097744;0;0;0;"203-1";1368;1;90;752,817898354465
"1411";14;50;"G";80;0,909774436090226;0,992481203007519;1;1;0,902255639097744;0;0;0;"211-1";2241;2;80;883,736961496171
"1393";894;52;"G";80;0,917293233082707;0,977443609022556;1;1;0,902255639097744;0;0;1;"371-1";2084;1;100;740,655703291717
"1283";463;56;"G";80;0,924812030075188;0,954887218045113;1;1;0,902255639097744;0;0;0;"66-1";3526;1;100;866,352778635464
"663";175;50;"G";90;0,93984962406015;0,992481203007519;1;0,947368421052632;0,902255639097744;1;0;0;"G1206-1";2690;1;80;1021,47582818879
"533";503;56;"G";90;0,947368421052632;0,954887218045113;1;0,947368421052632;0,902255639097744;0;1;0;"G1206-4";1887;1;60;865,712512650703
"1191";503;58;"G";80;0,947368421052632;0,924812030075188;1;1;0,902255639097744;0;0;0;"G1206-4";1887;1;60;865,712512650703
"1093";444;42;"P";80;0,969924812030075;1;0,932330827067669;1;0,902255639097744;0;0;0;"203-1";1668;1;80;774,389929299347
"1056";712;50;"P";80;0,977443609022556;0,992481203007519;0,932330827067669;1;0,902255639097744;0;0;0;"294-2";1789;1;40;826,673062120555
"1173";1031;59;"G";80;0,984962406015038;0,902255639097744;1;1;0,902255639097744;0;0;0;"295-2";1829;1;40;878,723213651964
"990";79;52;"P";80;0,992481203007519;0,977443609022556;0,932330827067669;1;0,902255639097744;0;0;0;"G1206-3";2087;1;80;868,486516042941
